A
A,A#,A-,B,C,C#,D,D#,E,E-,F#,G
14,2,3,4,10,8,2,3,12,2,4,4
C
B,B-,C,C#,D,D-,E,E-,F,G
2,4,12,4,4,1,11,1,3,18
B
A,A-,B,B-,C,C#,D,E,E-,F,F#,G,G#
3,4,10,9,2,2,19,1,2,13,9,1,1
E
A,B,B-,C#,D,D-,E,E-,F,F#,G,G#
1,10,5,4,2,2,14,4,3,1,20,2
D
A,A-,B,C,C#,D,D-,E,F,F#,G
9,1,1,1,4,7,1,2,3,6,1
G
A,B,B-,C,C#,D,E,F,G,G#
1,5,7,1,1,14,4,2,11,2
F
A,A-,B,C,C#,E,E-,F,F#,G,G#
14,4,1,13,3,1,3,3,8,1,1
