C:A:(['2', '12', '17', '8', '13', '11', '9', '14', 'C', ['1e', '1g', '1a', '1b'], 0.25], 'A')
D:B:(['2', '13', '4', '16', '14', '12', '17', '8', 'a', ['1c', '2d', '1f'], 0.25], 'B')
A:D:(['2', '17', '8', '13', '11', '16', '7', '12', 'G', ['1d', '1e', '2a'], 0.25], 'D')
C#:A:(['1', '10', '15', '13', '11', '16', '7', '12', 'A', ['1c#', '1e', '1a', '1b'], 0.25], 'A')
B-:E:(['1', '12', '17', '8', '13', '11', '9', '14', 'c', ['1e-', '1g', '1a-', '1b-'], 0.5], 'E')
D:A:(['1', '12', '10', '15', '13', '11', '9', '14', 'D', ['1c#', '1d', '1g', '1a'], 0.25], 'A')
C#:E:(['2', '6', '18', '9', '14', '12', '10', '15', 'D', ['1c#', '1e', '1g', '1b'], 0.125], 'E')
B:D:(['2', '18', '9', '14', '12', '10', '15', '6', 'G', ['1d', '1f#', '1a', '1b'], 0.25], 'D')
C:E:(['2', '6', '18', '9', '14', '12', '10', '15', 'G', ['1c', '1e', '1g', '1b'], 0.25], 'E')
B:G:(['2', '12', '17', '8', '20', '4', '16', '7', 'G', ['1d', '1g#', '2b'], 0.25], 'G')
G:D:(['2', '14', '12', '10', '15', '6', '18', '9', 'G', ['1d', '1f#', '1g', '1b'], 0.25], 'D')
G:B:(['2', '11', '16', '7', '12', '10', '15', '13', 'd', ['1e', '1f', '1g', '1b'], 0.25], 'B')
D:B:(['1', '16', '7', '12', '17', '8', '20', '4', 'B-', ['2d', '1f', '1b-'], 0.5], 'B')
E:B:(['2', '10', '15', '6', '18', '9', '14', '12', 'D', ['1d', '1e', '1g', '1b'], 0.25], 'B')
B:D:(['2', '18', '2', '14', '12', '10', '22', '6', 'C', ['2d', '2f'], 0.25], 'D')
A:F:(['2', '17', '8', '20', '4', '16', '7', '12', 'G', ['1c', '1f#', '2a'], 0.25], 'F')
A-:F:(['1', '9', '14', '12', '10', '15', '6', '18', 'E-', ['1c', '1e-', '1g', '1a-'], 0.25], 'F')
D:B:(['4', '17', '8', '13', '11', '9', '21', '5', 'D', ['1d', '2f#', '1b'], 0.125], 'B')
C#:E:(['2', '6', '18', '9', '14', '12', '10', '15', 'b', ['1c#', '1e', '1g', '1b'], 0.25], 'E')
F:B:(['2', '13', '11', '16', '7', '12', '17', '8', 'B-', ['1c', '2f', '1b-'], 0.5], 'B')
G:B:(['2', '14', '12', '10', '15', '6', '18', '9', 'E-', ['1d', '1f', '1g', '1b-'], 0.25], 'B')
E:C:(['1', '10', '15', '6', '18', '9', '14', '12', 'C', ['1d', '1e', '1g', '1b-'], 0.25], 'C')
B:D:(['2', '11', '9', '14', '12', '10', '15', '13', 'a', ['1c', '1d', '1f', '1g#'], 0.25], 'D')
B-:G:(['1', '12', '17', '8', '20', '4', '16', '7', 'B-', ['1d', '1g', '2b-'], 0.5], 'G')
E:D:(['2', '9', '14', '5', '17', '8', '13', '18', 'D', ['1d', '1e', '2g'], 0.25], 'D')
D:B:(['2', '19', '3', '15', '13', '11', '16', '7', 'F', ['2d', '1f', '1a'], 0.25], 'B')
