real:guess:accuracy (bestProg)
['G']:['G']:1.0:[3.0]
['G', 'E', 'E', 'D']:['G', 'E', 'E', 'D']:1.0:[0, 0, 0, 0]
['G', 'D', 'D', 'E']:['G', 'D', 'D', 'E']:1.0:[0, 0, 0, 0]
['C', 'C', 'C', 'F', 'G']:['E', 'C', 'C', 'F', 'G']:0.8:[0, 0, 0, 0, 0]
['D', 'G']:['D', 'G']:1.0:[0, 0]
['D', 'E', 'F']:['D', 'E', 'F']:1.0:[0, 0, 0]
['G', 'A', 'D', 'D']:['G', 'A', 'D', 'D']:1.0:[0, 0, 0, 0]
['G', 'G']:['G', 'G']:1.0:[0, 0]
['G', 'G', 'A', 'A', 'G', 'G']:['G', 'G', 'A', 'F', 'G', 'G']:0.833333333333:[3.0, 6.0, 4.0, 5.0, 4.0, 7.0]
['G', 'G', 'G', 'D', 'G']:['G', 'G', 'G', 'D', 'G']:1.0:[0, 0, 0, 0, 0]
['D', 'E']:['D', 'E']:1.0:[0, 0]
['E', 'B', 'B', 'A']:['E', 'B', 'B', 'E']:0.75:[0, 0, 0, 0]
['G', 'G', 'G', 'D', 'D']:['G', 'G', 'G', 'D', 'D']:1.0:[0, 0, 0, 0, 0]
['G', 'G', 'G', 'G']:['G', 'G', 'G', 'G']:1.0:[0, 0, 0, 0]
['C', 'G']:['C', 'G']:1.0:[0, 0]
['D', 'D', 'G', 'G', 'F']:['D', 'D', 'G', 'G', 'D']:0.8:[0, 0, 0, 0, 0]
['G', 'G', 'D', 'D']:['G', 'G', 'D', 'D']:1.0:[0, 0, 0, 0]
['E', 'E', 'C', 'F', 'G', 'G']:['E', 'E', 'C', 'F', 'G', 'G']:1.0:[7.0, 6.0, 3.0, 8.0, 7.0, 3.0]
['D', 'G']:['D', 'G']:1.0:[0, 0]
['D', 'D', 'C', 'C']:['D', 'D', 'G', 'C']:0.75:[0, 0, 0, 0]
['E', 'E', 'A', 'D', 'D']:['E', 'G', 'A', 'D', 'D']:0.8:[0, 0, 0, 0, 0]
['G']:['G']:1.0:[3.0]
['A', 'A']:['A', 'A']:1.0:[0, 0]
['F', 'A', 'A', 'D', 'D', 'B']:['F', 'A', 'A', 'D', 'D', 'B']:1.0:[3.0, 4.0, 7.0, 5.0, 8.0, 5.0]
['E', 'B', 'B', 'E', 'E']:['F', 'B', 'B', 'E', 'E']:0.8:[0, 0, 0, 0, 0]
['A', 'B', 'B', 'A', 'C', 'F']:['A', 'G', 'B', 'A', 'C', 'F']:0.833333333333:[3.0, 4.0, 3.0, 4.0, 6.0, 6.0]
['E', 'B', 'B', 'E', 'C', 'C']:['E', 'B', 'B', 'E', 'C', 'C']:1.0:[5.0, 3.0, 6.0, 3.0, 3.0, 6.0]
['D', 'D', 'A', 'A', 'E', 'A', 'A']:['D', 'G', 'A', 'A', 'E', 'A', 'A']:0.857142857143:[5.0, 7.0, 2.0, 6.0, 3.0, 3.0, 5.0]
['D', 'D', 'A', 'A', 'E', 'A']:['D', 'G', 'A', 'A', 'E', 'A']:0.833333333333:[3.0, 5.0, 4.0, 8.0, 3.0, 4.0]
['B', 'B', 'A', 'A', 'B', 'E', 'F']:['B', 'B', 'C', 'A', 'B', 'E', 'F']:0.857142857143:[3.0, 4.0, 5.0, 5.0, 3.0, 5.0, 3.0]
['B', 'C', 'C']:['B', 'C', 'C']:1.0:[0, 0, 0]
['F', 'E', 'B', 'C', 'C', 'B', 'G']:['F', 'E', 'B', 'C', 'C', 'B', 'G']:1.0:[4.0, 6.0, 4.0, 2.0, 2.0, 4.0, 5.0]
['A', 'A', 'A', 'D', 'E', 'B']:['A', 'B', 'A', 'D', 'E', 'B']:0.833333333333:[3.0, 9.0, 8.0, 6.0, 3.0, 3.0]
['F', 'C', 'B', 'B', 'E', 'E', 'F', 'G']:['F', 'C', 'B', 'F', 'E', 'E', 'F', 'D']:0.75:[3.0, 5.0, 6.0, 8.0, 3.0, 2.0, 6.0, 7.0]
['A', 'A', 'B', 'B', 'A', 'D', 'E', 'E', 'E']:['A', 'E', 'F', 'B', 'A', 'D', 'E', 'E', 'E']:0.777777777778:[3.0, 8.0, 5.0, 6.0, 4.0, 6.0, 5.0, 3.0, 6.0]
['A']:['A']:1.0:[3.0]
['G', 'G']:['G', 'G']:1.0:[0, 0]
['E', 'E', 'D', 'D', 'G', 'A', 'D', 'D']:['E', 'C', 'D', 'D', 'G', 'A', 'D', 'D']:0.875:[3.0, 4.0, 6.0, 3.0, 4.0, 6.0, 4.0, 8.0]
['D', 'D', 'A', 'D', 'B', 'B']:['A', 'D', 'A', 'D', 'B', 'B']:0.833333333333:[7.0, 5.0, 4.0, 3.0, 3.0, 6.0]
['C', 'F', 'G', 'C', 'D', 'D', 'G', 'G']:['C', 'F', 'G', 'C', 'D', 'B', 'G', 'G']:0.875:[4.0, 6.0, 4.0, 4.0, 6.0, 6.0, 7.0, 3.0]
['D', 'D', 'D', 'G', 'D', 'D']:['D', 'D', 'D', 'G', 'D', 'E']:0.833333333333:[7.0, 3.0, 6.0, 3.0, 3.0, 9.0]
['D', 'A', 'G', 'G', 'A', 'A', 'D']:['D', 'A', 'B', 'G', 'A', 'A', 'D']:0.857142857143:[5.0, 3.0, 4.0, 4.0, 3.0, 6.0, 6.0]
['E', 'E', 'E', 'E', 'A', 'E', 'B']:['B', 'A', 'E', 'E', 'A', 'E', 'B']:0.714285714286:[8.0, 6.0, 3.0, 6.0, 3.0, 3.0, 6.0]
['E', 'E', 'E', 'E', 'A', 'A', 'A', 'A']:['E', 'C', 'E', 'E', 'A', 'D', 'A', 'F']:0.625:[5.0, 6.0, 6.0, 3.0, 4.0, 6.0, 6.0, 6.0]
['B', 'B', 'B', 'E', 'D', 'D']:['B', 'E', 'B', 'E', 'D', 'D']:0.833333333333:[7.0, 5.0, 4.0, 3.0, 3.0, 6.0]
['G', 'G', 'G', 'G', 'C', 'F', 'E', 'E']:['G', 'A', 'G', 'G', 'C', 'F', 'G', 'E']:0.75:[3.0, 8.0, 2.0, 5.0, 6.0, 4.0, 6.0, 5.0]
['A', 'A', 'A', 'A', 'D', 'G', 'G']:['A', 'G', 'A', 'A', 'D', 'G', 'B']:0.714285714286:[6.0, 7.0, 6.0, 4.0, 3.0, 5.0, 4.0]
['C', 'C', 'D', 'D', 'C', 'F', 'G', 'G']:['C', 'C', 'D', 'B', 'C', 'F', 'G', 'G']:0.875:[6.0, 2.0, 4.0, 4.0, 6.0, 4.0, 3.0, 7.0]
['A', 'A', 'A', 'D', 'G']:['A', 'A', 'A', 'D', 'G']:1.0:[0, 0, 0, 0, 0]
['G']:['G']:1.0:[3.0]
['G', 'G', 'C', 'C', 'D', 'D', 'G', 'G']:['G', 'D', 'E', 'C', 'D', 'D', 'G', 'G']:0.75:[3.0, 8.0, 5.0, 5.0, 3.0, 6.0, 4.0, 6.0]
['A', 'A', 'C', 'C', 'D', 'D', 'D']:['A', 'A', 'C', 'A', 'D', 'D', 'D']:0.857142857143:[4.0, 7.0, 6.0, 6.0, 3.0, 3.0, 7.0]
['D', 'D', 'D', 'D', 'G', 'G', 'C', 'C']:['F', 'D', 'D', 'D', 'G', 'G', 'C', 'C']:0.875:[6.0, 6.0, 3.0, 6.0, 7.0, 3.0, 3.0, 6.0]
['F', 'F', 'D', 'D', 'D', 'G', 'F']:['F', 'F', 'D', 'B', 'D', 'G', 'F']:0.857142857143:[4.0, 6.0, 4.0, 4.0, 3.0, 3.0, 3.0]
['F', 'F', 'C', 'C', 'F', 'F', 'B', 'B']:['F', 'F', 'C', 'C', 'F', 'F', 'F', 'B']:0.875:[3.0, 7.0, 7.0, 3.0, 3.0, 6.0, 8.0, 5.0]
['E', 'E', 'F', 'F', 'G', 'G']:['E', 'E', 'F', 'F', 'G', 'G']:1.0:[3.0, 6.0, 4.0, 6.0, 4.0, 3.0]
['D', 'D', 'C', 'C', 'D', 'D']:['D', 'D', 'E', 'C', 'D', 'D']:0.833333333333:[7.0, 3.0, 5.0, 5.0, 3.0, 3.0]
['F', 'F', 'F', 'F', 'G', 'G', 'C', 'C', 'C']:['F', 'B', 'F', 'D', 'G', 'G', 'C', 'A', 'C']:0.666666666667:[4.0, 6.0, 6.0, 6.0, 3.0, 3.0, 4.0, 5.0, 5.0]
['D', 'D', 'D', 'D', 'D', 'G', 'G']:['D', 'D', 'D', 'B', 'D', 'G', 'G']:0.857142857143:[3.0, 6.0, 3.0, 4.0, 4.0, 7.0, 3.0]
['D', 'D']:['D', 'D']:1.0:[0, 0]
['D', 'D', 'D', 'D', 'G', 'G', 'C', 'C']:['D', 'E', 'D', 'D', 'G', 'G', 'C', 'A']:0.75:[3.0, 9.0, 5.0, 3.0, 3.0, 6.0, 5.0, 6.0]
['G', 'G', 'D', 'D', 'D', 'D', 'D']:['G', 'G', 'D', 'E', 'D', 'D', 'B']:0.714285714286:[4.0, 8.0, 3.0, 7.0, 3.0, 5.0, 6.0]
['A', 'B', 'B', 'G', 'A']:['A', 'D', 'B', 'G', 'A']:0.8:[0, 0, 0, 0, 0]
['D', 'D', 'D']:['D', 'D', 'D']:1.0:[0, 0, 0]
['D', 'D', 'B', 'B', 'E', 'E', 'F', 'G']:['D', 'D', 'B', 'D', 'E', 'E', 'F', 'G']:0.875:[3.0, 6.0, 4.0, 6.0, 3.0, 4.0, 6.0, 4.0]
['A', 'G', 'C', 'C', 'F', 'F', 'F']:['A', 'G', 'G', 'C', 'F', 'F', 'F']:0.857142857143:[3.0, 8.0, 8.0, 5.0, 3.0, 3.0, 6.0]
['G', 'G', 'A', 'A', 'E', 'B', 'E', 'E']:['B', 'G', 'A', 'A', 'E', 'B', 'E', 'E']:0.875:[5.0, 5.0, 4.0, 8.0, 7.0, 6.0, 3.0, 6.0]
['A', 'A']:['A', 'A']:1.0:[0, 0]
['D', 'D', 'D', 'D', 'G', 'C', 'D', 'D']:['D', 'E', 'D', 'D', 'G', 'C', 'D', 'F']:0.75:[3.0, 9.0, 3.0, 5.0, 4.0, 6.0, 4.0, 6.0]
['B', 'E', 'E', 'B', 'D']:['B', 'E', 'E', 'B', 'D']:1.0:[0, 0, 0, 0, 0]
['G', 'G', 'B', 'B', 'E', 'E', 'A', 'A']:['G', 'G', 'B', 'B', 'E', 'E', 'A', 'A']:1.0:[3.0, 7.0, 3.0, 6.0, 6.0, 5.0, 3.0, 6.0]
['D']:['D']:1.0:[3.0]
['B', 'B', 'E', 'E', 'F', 'F', 'B', 'G', 'G']:['B', 'B', 'C', 'E', 'F', 'F', 'B', 'G', 'B']:0.777777777778:[3.0, 6.0, 6.0, 5.0, 3.0, 6.0, 4.0, 4.0, 4.0]
['E', 'B', 'A', 'F', 'B']:['E', 'B', 'A', 'F', 'B']:1.0:[0, 0, 0, 0, 0]
['B', 'B', 'B', 'B', 'A', 'A', 'B', 'B']:['B', 'C', 'B', 'G', 'A', 'A', 'D', 'B']:0.625:[3.0, 8.0, 3.0, 4.0, 3.0, 6.0, 3.0, 4.0]
['C', 'D', 'D', 'D', 'G']:['C', 'C', 'D', 'D', 'G']:0.8:[0, 0, 0, 0, 0]
['D', 'D', 'A', 'A', 'D', 'A', 'G', 'G']:['D', 'A', 'E', 'A', 'D', 'A', 'G', 'B']:0.625:[5.0, 7.0, 8.0, 5.0, 3.0, 8.0, 4.0, 3.0]
['C', 'C', 'F', 'F', 'B']:['C', 'C', 'F', 'F', 'B']:1.0:[0, 0, 0, 0, 0]
['B', 'B', 'E', 'E', 'F', 'F', 'D', 'D']:['B', 'B', 'C', 'E', 'F', 'A', 'D', 'G']:0.625:[3.0, 6.0, 6.0, 5.0, 3.0, 6.0, 4.0, 6.0]
['F', 'B', 'F', 'F', 'F', 'B']:['F', 'B', 'C', 'B', 'F', 'B']:0.666666666667:[6.0, 1.0, 8.0, 7.0, 6.0, 3.0]
['E', 'B', 'B', 'C', 'C', 'A', 'A']:['E', 'B', 'B', 'C', 'G', 'F', 'A']:0.714285714286:[3.0, 7.0, 3.0, 6.0, 8.0, 6.0, 5.0]
['B', 'B', 'E', 'D', 'E', 'E', 'C', 'C']:['B', 'B', 'E', 'D', 'E', 'E', 'C', 'E']:0.875:[3.0, 6.0, 3.0, 4.0, 3.0, 6.0, 4.0, 6.0]
['A', 'B', 'B', 'B', 'E']:['A', 'B', 'G', 'B', 'E']:0.8:[0, 0, 0, 0, 0]
['E', 'E', 'C', 'G', 'C']:['E', 'E', 'C', 'G', 'C']:1.0:[0, 0, 0, 0, 0]
['G', 'G', 'G', 'A', 'A', 'G', 'G', 'G', 'F', 'F', 'F']:['G', 'G', 'G', 'A', 'F', 'G', 'E', 'G', 'A', 'A', 'F']:0.636363636364:[7.0, 7.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 7.0, 4.0]
['E', 'E', 'B', 'B', 'B', 'E']:['G', 'E', 'B', 'B', 'B', 'E']:0.833333333333:[5.0, 5.0, 7.0, 3.0, 6.0, 3.0]
['E', 'E', 'G', 'G', 'C', 'C', 'C', 'C']:['E', 'C', 'G', 'G', 'C', 'C', 'C', 'C']:0.875:[3.0, 4.0, 3.0, 6.0, 3.0, 7.0, 4.0, 7.0]
['C', 'C', 'A', 'A', 'G', 'D', 'D', 'D']:['C', 'G', 'A', 'F', 'G', 'D', 'D', 'D']:0.75:[5.0, 3.0, 3.0, 4.0, 3.0, 7.0, 3.0, 6.0]
['G', 'G', 'G']:['G', 'G', 'G']:1.0:[0, 0, 0]
['C', 'C', 'D', 'D', 'E', 'D', 'E', 'D']:['C', 'C', 'D', 'D', 'E', 'A', 'E', 'D']:0.875:[2.0, 5.0, 3.0, 6.0, 4.0, 8.0, 3.0, 5.0]
['G', 'G', 'A', 'B', 'E', 'E', 'F', 'B', 'B']:['G', 'G', 'A', 'B', 'E', 'E', 'F', 'B', 'B']:1.0:[3.0, 4.0, 6.0, 6.0, 7.0, 4.0, 6.0, 3.0, 6.0]
['E']:['E']:1.0:[3.0]
['A']:['A']:1.0:[3.0]
['A', 'A', 'A', 'A', 'D', 'D', 'D', 'D']:['A', 'A', 'A', 'A', 'D', 'D', 'D', 'D']:1.0:[3.0, 7.0, 4.0, 3.0, 3.0, 7.0, 4.0, 3.0]
['A', 'F']:['A', 'F']:1.0:[0, 0]
['E', 'A', 'E', 'E', 'A', 'A', 'A']:['E', 'A', 'E', 'E', 'A', 'A', 'A']:1.0:[6.0, 3.0, 3.0, 6.0, 4.0, 3.0, 7.0]
['E', 'E', 'E', 'E', 'A', 'E', 'E']:['E', 'B', 'C', 'E', 'A', 'E', 'F']:0.571428571429:[7.0, 8.0, 9.0, 6.0, 3.0, 5.0, 9.0]
['E', 'E', 'E', 'E', 'A', 'A', 'A', 'A', 'A']:['E', 'F', 'E', 'E', 'A', 'A', 'C', 'A', 'A']:0.777777777778:[3.0, 9.0, 5.0, 4.0, 7.0, 7.0, 6.0, 4.0, 3.0]
['E', 'E']:['E', 'E']:1.0:[0, 0]
['A', 'A', 'C', 'C', 'F', 'F', 'B', 'B']:['A', 'B', 'C', 'E', 'F', 'F', 'B', 'B']:0.75:[3.0, 9.0, 4.0, 2.0, 6.0, 5.0, 3.0, 3.0]
['E', 'A']:['E', 'A']:1.0:[0, 0]
['D', 'D', 'A', 'A', 'B', 'B', 'C', 'F']:['D', 'B', 'C', 'A', 'B', 'B', 'C', 'F']:0.75:[3.0, 7.0, 4.0, 4.0, 7.0, 4.0, 6.0, 3.0]
['B', 'A', 'A']:['B', 'A', 'A']:1.0:[0, 0, 0]
['E', 'A', 'F', 'F', 'B', 'B', 'E', 'E', 'E']:['E', 'A', 'F', 'D', 'B', 'B', 'E', 'E', 'E']:0.888888888889:[3.0, 3.0, 3.0, 4.0, 6.0, 4.0, 5.0, 8.0, 6.0]
['A']:['A']:1.0:[3.0]
['C']:['C']:1.0:[3.0]
['G', 'D', 'D', 'G', 'C', 'C']:['G', 'D', 'D', 'G', 'C', 'G']:0.833333333333:[3.0, 3.0, 6.0, 3.0, 3.0, 8.0]
['F', 'F', 'B', 'C', 'G']:['F', 'F', 'B', 'C', 'G']:1.0:[0, 0, 0, 0, 0]
['F', 'F', 'G', 'G', 'D', 'G', 'G']:['A', 'F', 'G', 'G', 'D', 'G', 'G']:0.857142857143:[5.0, 5.0, 4.0, 8.0, 3.0, 3.0, 7.0]
['A', 'D', 'D', 'G', 'C']:['A', 'D', 'D', 'G', 'C']:1.0:[0, 0, 0, 0, 0]
['B', 'C', 'G', 'G']:['B', 'C', 'G', 'G']:1.0:[0, 0, 0, 0]
['C', 'C', 'D', 'D', 'G', 'C']:['C', 'C', 'D', 'F', 'G', 'C']:0.833333333333:[3.0, 6.0, 6.0, 5.0, 3.0, 5.0]
['D', 'G', 'A', 'A', 'C', 'F']:['D', 'G', 'A', 'D', 'C', 'F']:0.833333333333:[6.0, 4.0, 4.0, 6.0, 5.0, 3.0]
['C', 'G', 'G', 'C']:['C', 'G', 'G', 'C']:1.0:[0, 0, 0, 0]
['D']:['D']:1.0:[3.0]
['A', 'A', 'B', 'B', 'A', 'A', 'D', 'D']:['A', 'A', 'B', 'G', 'A', 'C', 'D', 'F']:0.625:[3.0, 6.0, 6.0, 6.0, 4.0, 3.0, 4.0, 6.0]
