#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	2	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
1	1	1	1	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
1	2	2	0.5	1	19	3	15	13	11	16	7	D	C	V7/V	2d 1f# 1a
1	2.5	2.5	0.5	1	15	6	18	9	14	12	10	D	C	(V7/V)	1c 1d 1f# 1a
1	3	3	1	2	11	16	7	19	3	15	13	G	C	V;	1d 2g 1b
1	4	4	0.5	1	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
1	4.5	4.5	0.5	1	9	14	12	17	8	13	11	C	C	(I)	1c 1d 1g 1b-
2	1	5	0.5	1	17	8	20	4	16	7	12	F	C	IV	1c 1f 2a
2	1.5	5.5	0.5	1	9	14	12	10	15	6	18	F	C	(IV)	1c 1e 1g 1a
2	2	6	1	2	16	7	12	17	8	20	4	B	C	viiob	2d 1f 1b
2	3	7	1	2	3	15	13	11	16	7	19	C	C	I;	2c 1e 1g
2	4	8	1	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
3	1	9	0.5	1	8	13	18	9	14	5	17	F#	C	viiob/V	2c 1g 1a
3	1.5	9.5	0.5	1	11	9	21	5	17	8	13	F#	C	(viiob/V)	2c 1f# 1a
3	2	10	0.5	1	12	17	8	20	4	16	7	G	C	Vb	1d 1g 2b
3	2.5	10.5	0.5	1	9	14	12	17	8	13	11	G	C	(Vb)	1c 1d 1g 1b
3	3	11	1	2	19	3	15	13	11	16	7	D	C	V/V	2d 1f# 1a
3	4	12	0.5	1	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
3	4.5	12.5	0.5	1	8	13	11	16	7	12	17	G	C	(V)	1c 1d 2g
4	1	13	1	2	9	14	12	10	15	6	18	A	C	vi7b	1c 1e 1g 1a
4	2	14	0.5	1	19	3	15	13	11	16	7	D	C	V7/V	2d 1f# 1a
4	2.5	14.5	0.5	1	15	6	18	9	14	12	10	D	C	(V7/V)	1c 1d 1f# 1a
4	3	15	1	2	11	16	7	19	3	15	13	G	C	V;	1d 2g 1b
4	4	16	1	2	3	15	13	11	16	7	19	C	C	Ib	2c 1e 1g
5	1	17	1	2	16	7	12	17	8	20	4	B	C	viiob	2d 1f 1b
5	2	18	1	2	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
5	3	19	1	2	11	16	7	19	3	15	13	G	C	V;	1d 2g 1b
5	4	20	1	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
6	1	21	0.5	1	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
6	1.5	21.5	0.5	1	6	18	9	14	12	10	15	C	C	(I)	1c 1e 1g 1b
6	2	22	0.5	1	15	6	18	9	14	12	10	D	C	V7c/V	1c 1d 1f# 1a
6	2.5	22.5	0.5	1	11	9	21	5	17	8	13	D	C	(V7c/V)	2c 1f# 1a
6	3	23	1	2	11	16	7	19	3	15	13	G	C	V;	1d 2g 1b
6	4	24	1	2	5	17	8	13	11	9	21	C	C	Ib	1c 1e 2g
7	1	25	1	2	15	6	18	9	14	12	10	D	C	V7b/V	1c 1d 1f# 1a
7	2	26	1	2	12	17	8	20	4	16	7	G#	C	viio/VI	1d 1g# 2b
7	3	27	0.5	1	7	12	17	8	20	4	16	A	C	vi	2c 1e 1a
7	3.5	27.5	0.5	1	15	6	18	9	14	12	10	A	C	(vi)	1c 1d 1f 1a
7	4	28	0.5	1	5	17	8	13	11	9	21	C	C	Ic	1c 1e 2g
7	4.5	28.5	0.5	1	16	7	19	3	15	13	11	F	C	IV	1c 2f 1a
8	1	29	1	2	8	13	11	16	7	12	17	C	C	Ic	1c 1d 2g
8	2	30	0.5	1	11	16	7	19	3	15	13	G	C	V7	1d 2g 1b
8	2.5	30.5	0.5	1	14	12	10	15	6	18	9	G	C	(V7)	1d 1f 1g 1b
8	3	31	1	2	3	15	13	11	16	7	19	C	C	I;	2c 1e 1g
