#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	0.5	2	16	7	19	3	15	13	11	F	F	I	1c 2f 1a
0	4.5	0.5	0.5	2	8	13	11	9	14	12	17	F	F	(I)	1c 1e 1f 1g
1	1	1	0.5	2	14	5	17	8	13	18	9	B	F	viiob/V	1c 1d 2f
1	1.5	1.5	0.5	2	17	8	13	11	9	21	5	B	F	(viiob/V)	1d 2f 1b
1	2	2	0.5	2	3	15	13	11	16	7	19	C	F	Vb	2c 1e 1g
1	2.5	2.5	0.5	2	5	17	15	13	11	9	14	C	F	V7	2c 1g 1b-
1	3	3	0.5	2	17	8	20	4	16	7	12	F	F	I	1c 1f 2a
1	3.5	3.5	0.5	2	18	9	14	12	10	15	6	F	F	(I)	1d 1f 1a 1b-
1	4	4	0.5	2	3	15	13	11	16	7	19	C	F	V	2c 1e 1g
1	4.5	4.5	0.5	2	7	12	17	8	20	4	16	C	F	(V)	2c 1e 1a
2	1	5	0.5	2	17	8	13	11	9	21	5	B-	F	IVb	1d 2f 1b-
2	1.5	5.5	0.5	2	6	18	9	14	12	10	15	C	F	V7b	1c 1e 1g 1b-
2	2	6	0.5	2	13	11	16	7	12	10	15	F	F	I	1c 1f 1g 1a
2	2.5	6.5	0.5	2	16	7	19	3	15	13	11	F	F	(I)	1c 2f 1a
2	3	7	0.5	2	14	12	10	15	6	18	9	G	F	ii7b	1d 1f 1g 1b-
2	3.5	7.5	0.25	1	9	21	5	17	8	13	11	G	F	iib	1e 1g 2b-
2	3.75	7.75	0.25	1	12	17	8	20	4	16	7	G	F	(iib)	1d 1g 2b-
2	4	8	0.5	2	5	17	8	13	11	9	21	C	F	V	1c 1e 2g
2	4.5	8.5	0.25	1	3	15	13	11	16	7	19	C	F	(V)	2c 1e 1g
2	4.75	8.75	0.25	1	6	18	9	14	12	10	15	C	F	(V)	1c 1e 1g 1b-
3	1	9	2	8	16	7	19	3	15	13	11	F	F	I;	1c 2f 1a
3	4	12	0.5	2	16	7	19	3	15	13	11	F	F	I	1c 2f 1a
3	4.5	12.5	0.5	2	12	10	15	6	18	9	14	F	F	(I)	1c 1e- 1f 1a
4	1	13	0.5	2	16	7	12	17	8	20	4	B-	F	IVb	2d 1f 1b-
4	1.5	13.5	0.5	2	6	18	9	14	12	10	15	C	F	V7b	1c 1e 1g 1b-
4	2	14	0.5	2	13	11	16	7	12	10	15	F	F	I	1c 1f 1g 1a
4	2.5	14.5	0.5	2	16	7	19	3	15	13	11	F	F	(I)	1c 2f 1a
4	3	15	0.5	2	14	12	10	15	6	18	9	G	F	V7b/V	1d 1f 1g 1b
4	3.5	15.5	0.5	2	3	15	13	11	16	7	19	C	F	V	2c 1e 1g
4	4	16	0.5	2	13	4	16	14	12	17	8	B	F	viio/V	1c 2d 1f
4	4.5	16.5	0.5	2	16	7	12	17	8	20	4	B	F	(viio/V)	2d 1f 1b
5	1	17	0.5	2	3	15	13	11	16	7	19	C	F	V	2c 1e 1g
5	1.5	17.5	0.5	2	6	18	9	14	12	10	15	C	F	(V)	1c 1e 1g 1b-
5	2	18	0.5	2	16	7	19	3	15	13	11	F	F	Ib	1c 2f 1a
5	2.5	18.5	0.5	2	15	6	18	2	14	19	10	F	F	(Ib)	1c 3f
5	3	19	1	4	3	15	13	11	16	7	19	C	F	V;	2c 1e 1g
5	4	20	0.5	2	13	11	16	7	19	3	15	A	F	iii	1c 1e 2a
5	4.5	20.5	0.5	2	17	8	20	4	16	7	12	A	F	(iii)	1c 1f# 2a
6	1	21	0.5	2	11	16	7	19	3	15	13	G	F	ii	1d 2g 1b-
6	1.5	21.5	0.5	2	6	18	9	14	12	10	15	C#	F	viioD7/vi	1c# 1e 1g 1b-
6	2	22	0.5	2	19	3	15	13	11	16	7	D	F	vi	2d 1f 1a
6	2.5	22.5	0.5	2	11	9	14	12	17	8	13	D	F	(vi)	1c 1d 1e 1a
6	3	23	0.5	2	11	16	7	19	3	15	13	G	F	Vb/V	1d 2g 1b
