#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
1	1	1	0.5	1	19	3	15	13	11	16	7	D	G	Vb	2d 1f# 1a
1	1.5	1.5	0.5	1	16	7	12	10	15	13	11	D	G	(Vb)	1d 1e 1f# 1a
1	2	2	0.5	1	17	1	13	18	9	21	5	D	G	V7	3d 1f#
1	2.5	2.5	0.5	1	13	4	16	14	12	17	8	D	G	(V7)	1c 2d 1f#
1	3	3	0.5	1	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
1	3.5	3.5	0.5	1	12	10	15	13	11	9	14	G	G	(I)	1c 1d 1g 1a
1	4	4	1	2	13	11	9	21	5	17	8	G	G	Ib	2d 1g 1b
2	1	5	0.5	1	3	15	13	11	16	7	19	C	G	IV	2c 1e 1g
2	1.5	5.5	0.5	1	6	18	9	14	12	10	15	C	G	(IV)	1c 1e 1g 1b
2	2	6	0.5	1	19	3	15	13	11	16	7	D	G	V7	2d 1f# 1a
2	2.5	6.5	0.5	1	13	4	16	14	12	17	8	D	G	(V7)	1c 2d 1f#
2	3	7	1	2	11	16	7	19	3	15	13	G	G	I;	1d 2g 1b
2	4	8	1	2	21	5	17	8	13	11	9	D	G	Vb	1d 1f# 2a
3	1	9	0.5	1	8	20	4	16	7	12	17	E	G	vi	1e 2g 1b
3	1.5	9.5	0.5	1	5	17	8	13	11	9	21	E	G	(vi)	1c# 1e 2g
3	2	10	1	2	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
3	3	11	0.5	1	7	19	3	15	13	11	16	E	G	vib	2e 1g 1b
3	3.5	11.5	0.5	1	11	16	7	12	10	15	13	E	G	(vib)	1e 1f# 1g 1b
3	4	12	1	2	9	14	12	10	15	6	18	A	G	V7/V	1c# 1e 1g 1a
4	1	13	2	4	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
4	4	16	0.5	1	19	3	15	13	11	16	7	D	G	V7b	2d 1f# 1a
4	4.5	16.5	0.5	1	15	6	18	9	14	12	10	D	G	(V7b)	1c 1d 1f# 1a
5	1	17	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
5	2	18	1	2	15	6	18	9	14	12	10	D	G	V7c	1c 1d 1f# 1a
5	3	19	1	2	13	11	9	21	5	17	8	G	G	Ib	2d 1g 1b
5	4	20	0.5	1	7	19	3	15	13	11	16	E	G	vi	2e 1g 1b
5	4.5	20.5	0.5	1	4	16	7	12	17	8	20	E	G	(vi)	1c 2e 1g
6	1	21	1	2	13	11	9	21	5	17	8	G	G	Ib	2d 1g 1b
6	2	22	0.5	1	7	12	17	8	20	4	16	A	G	iib	2c 1e 1a
6	2.5	22.5	0.5	1	6	18	9	14	12	10	15	A	G	(iib)	1c 1e 1g 1b
6	3	23	1	2	21	5	17	8	13	11	9	D	G	V;	1d 1f# 2a
6	4	24	1	2	15	13	11	16	7	19	3	B	G	iii	1d 1f# 2b
7	1	25	0.5	1	6	18	9	14	12	10	15	C	G	IV7	1c 1e 1g 1b
7	1.5	25.5	0.5	1	17	8	20	4	16	7	12	F#	G	viio	1c 1f# 2a
7	2	26	0.5	1	14	19	10	15	6	11	9	G	G	I	1g 1a 2b
7	2.5	26.5	0.5	1	7	19	10	15	6	11	16	G	G	(I)	1c 2g 1b
7	3	27	0.5	1	16	7	12	17	8	13	11	D	G	V	2d 1g 1a
7	3.5	27.5	0.5	1	15	6	11	16	14	12	10	D	G	(V)	2d 1e 1a
7	4	28	1	2	15	6	18	9	14	12	10	D#	G	viio7/VI	1c 1d# 1f# 1a
8	1	29	0.5	1	8	20	4	16	7	12	17	E	G	vi	1e 2g 1b
8	1.5	29.5	0.5	1	16	14	12	10	8	13	11	E	G	(vi)	1f# 1g 1a 1b
8	2	30	0.5	1	8	20	4	16	7	12	17	E	G	(vi)	1e 2g 1b
8	2.5	30.5	0.5	1	9	14	12	10	15	6	18	E	G	(vi)	1c 1e 1g 1a
8	3	31	1	2	16	7	12	17	8	20	4	B	G	iii;	2d 1f# 1b
8	4	32	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
9	1	33	0.5	1	3	15	13	11	16	7	19	C	G	IVb	2c 1e 1g
9	1.5	33.5	0.5	1	7	12	10	15	13	11	16	C	G	(IVb)	1c 1d 1e 1g
9	2	34	0.5	1	10	15	6	18	9	14	12	E	G	vi7d	1d 1e 1g 1b
9	2.5	34.5	0.5	1	9	14	12	10	15	6	18	E	G	(vi7d)	1c 1e 1g 1a
9	3	35	1	2	13	11	9	21	5	17	8	G	G	Ic	2d 1g 1b
9	4	36	0.5	1	19	3	15	13	11	16	7	D	G	V7	2d 1f# 1a
9	4.5	36.5	0.5	1	15	6	18	9	14	12	10	D	G	(V7)	1c 1d 1f# 1a
10	1	37	3	6	11	16	7	19	3	15	13	G	G	I;	1d 2g 1b
