#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
1	1	0	1	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
1	2	1	1	2	9	21	5	17	8	13	11	E	a	Vb	1e 1g# 2b
1	3	2	1	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
1	4	3	1	2	13	11	16	7	19	3	15	A	a	i;	1c 1e 2a
2	1	4	1	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
2	2	5	1	2	11	16	7	19	3	15	13	G	a	V/III	1d 2g 1b
2	3	6	1	2	3	15	13	11	16	7	19	C	a	I/III	2c 1e 1g
2	4	7	1	2	3	15	13	11	16	7	19	C	a	I/III;	2c 1e 1g
3	1	8	0.5	1	3	15	13	11	16	7	19	C	a	I/III	2c 1e 1g
3	1.5	8.5	0.5	1	10	15	6	18	9	14	12	C	a	(I/III)	1d 1e 1g 1b
3	2	9	0.5	1	7	12	17	8	20	4	16	A	a	i	2c 1e 1a
3	2.5	9.5	0.5	1	6	18	9	14	12	10	15	A	a	(i)	1c 1e 1g 1b
3	3	10	0.5	1	15	6	18	9	14	12	10	D	a	V7b/-VII	1c 1d 1f# 1a
3	3.5	10.5	0.5	1	12	17	8	20	4	16	7	G#	a	viio	1d 1g# 2b
3	4	11	0.5	1	9	14	19	10	15	6	11	A	a	i	2c 1a 1b
3	4.5	11.5	0.5	1	13	11	16	7	19	3	15	A	a	(i)	1c 1e 2a
4	1	12	1	2	18	9	14	12	10	15	6	D	a	iv7	1d 1f 1a 1b
4	2	13	0.5	1	7	19	3	15	13	11	16	E	a	V	2e 1g# 1b
4	2.5	13.5	0.5	1	13	11	9	14	12	10	15	E	a	(V)	1d 1e 1g# 1a
4	3	14	2	4	13	11	16	7	19	3	15	A	a	I;	1c# 1e 2a
5	1	16	0.5	1	13	11	16	7	19	3	15	A	a	I	1c# 1e 2a
5	1.5	16.5	0.5	1	14	12	10	15	13	11	9	A	a	(I)	1d 1e 1a 1b
5	2	17	0.5	1	8	13	11	9	21	5	17	A	a	Ib	1c# 2e 1a
5	2.5	17.5	0.5	1	13	11	16	7	19	3	15	A	a	(Ib)	1c# 1e 2a
5	3	18	0.5	1	19	3	15	13	11	16	7	D	a	iv	2d 1f 1a
5	3.5	18.5	0.5	1	15	6	18	9	14	12	10	D	a	(iv)	1c 1d 1f 1a
5	4	19	0.5	1	15	13	11	16	7	19	3	B-	a	-II	1d 1f 2b-
5	4.5	19.5	0.5	1	18	9	14	12	10	15	6	B-	a	(-II)	1d 1f 1a 1b-
6	1	20	0.5	1	10	15	6	18	9	14	12	E	a	viiD7/VI	1d 1e 1g 1b-
6	1.5	20.5	0.5	1	9	14	5	17	15	13	11	E	a	(viiD7/VI)	1d 2e 1b-
6	2	21	0.5	1	13	11	16	7	19	3	15	A	a	V/IV	1c# 1e 2a
6	2.5	21.5	0.5	1	9	14	12	10	15	6	18	A	a	(V/IV)	1c# 1e 1g 1a
6	3	22	0.5	1	11	9	7	19	10	15	13	D	a	IV	2d 1e 1g
6	3.5	22.5	0.5	1	10	8	6	18	16	14	12	D	a	(IV)	2d 2e
6	4	23	1	2	19	3	15	13	11	16	7	D	a	IV;	2d 1f# 1a
7	1	24	0.5	1	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
7	1.5	24.5	0.5	1	12	10	15	13	11	9	14	G	C	(V)	1c 1d 1g 1a
7	2	25	0.5	1	13	11	9	21	5	17	8	G	C	Vb	2d 1g 1b
7	2.5	25.5	0.5	1	11	16	7	19	3	15	13	G	C	(Vb)	1d 2g 1b
7	3	26	0.5	1	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
7	3.5	26.5	0.5	1	6	18	9	14	12	10	15	C	C	(I)	1c 1e 1g 1b
7	4	27	0.5	1	13	11	16	7	19	3	15	A	C	vi	1c 1e 2a
7	4.5	27.5	0.5	1	9	14	12	10	15	6	18	A	C	(vi)	1c 1e 1g 1a
8	1	28	0.5	1	15	6	18	9	14	12	10	D	C	ii7b	1c 1d 1f 1a
8	1.5	28.5	0.5	1	14	5	17	15	13	11	9	D	C	(ii7b)	1c 2d 1a
8	2	29	0.5	1	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
8	2.5	29.5	0.5	1	14	12	10	15	6	18	9	G	C	(V)	1d 1f 1g 1b
8	3	30	0.5	1	5	10	22	6	18	9	14	C	C	I	3c 1f
8	3.5	30.5	0.5	1	4	9	21	12	17	8	13	C	C	(I)	3c 1d
8	4	31	1	2	3	15	13	11	16	7	19	C	C	I;	2c 1e 1g
9	1	32	1	2	16	7	19	3	15	13	11	F	a	VI	1c 2f 1a
9	2	33	0.5	1	16	7	12	10	15	13	11	D	a	iv	1d 1e 1f 1a
9	2.5	33.5	0.5	1	19	3	15	13	11	16	7	D	a	(iv)	2d 1f 1a
9	3	34	0.5	1	7	19	3	15	13	11	16	E	a	Vb	2e 1g# 1b
9	3.5	34.5	0.5	1	6	18	2	14	19	10	15	E	a	(Vb)	3e 1b
9	4	35	0.5	1	17	8	13	11	16	7	12	A	a	I	1d 1e 2a
9	4.5	35.5	0.5	1	13	11	16	7	19	3	15	A	a	(I)	1c 1e 2a
10	1	36	1	2	18	9	14	12	10	15	6	B	a	V7b/V	1d# 1f# 1a 1b
10	2	37	0.5	1	7	19	3	15	13	11	16	E	a	V	2e 1g# 1b
10	2.5	37.5	0.5	1	10	15	6	18	9	14	12	E	a	(V)	1d 1e 1g# 1b
10	3	38	0.5	1	22	6	18	9	14	5	10	A	a	I	1d 3a
10	3.5	38.5	0.5	1	21	12	17	8	13	4	9	A	a	(I)	3a 1b
10	4	39	1	2	13	11	16	7	19	3	15	A	a	I;	1c# 1e 2a
