#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
1	1	0	0.5	2	16	7	19	3	15	13	11	F	F	I	1c 2f 1a
1	1.5	0.5	0.5	2	13	11	16	7	12	10	15	F	F	(I)	1c 1f 1g 1a
1	2	1	1	4	17	8	20	4	16	7	12	F	F	Ib	1c 1f 2a
1	3	2	1	4	16	7	19	3	15	13	11	F	F	(Ib)	1c 2f 1a
2	1	3	1	4	7	12	17	8	13	11	16	C	F	V	2c 1f 1g
2	2	4	0.5	2	3	15	13	11	16	7	19	C	F	(V)	2c 1e 1g
2	2.5	4.5	0.5	2	6	18	9	14	12	10	15	C	F	(V)	1c 1e 1g 1b-
2	3	5	1	4	20	4	16	7	12	17	8	D	F	vi	1d 2f 1a
3	1	6	0.5	2	12	17	8	20	4	16	7	G	F	ii	1d 1g 2b-
3	1.5	6.5	0.5	2	15	13	11	16	7	19	3	G	F	(ii)	1d 1f 2b-
3	2	7	1	4	6	18	9	14	12	10	15	C	F	v7b	1c 1e- 1g 1b-
3	3	8	0.5	2	16	7	19	3	15	13	11	F	F	I	1c 2f 1a
3	3.5	8.5	0.25	1	17	8	13	11	9	21	5	F	F	(I)	1d 2f 1b-
3	3.75	8.75	0.25	1	11	9	14	5	17	15	13	F	F	(I)	1c 1e- 2f
4	1	9	0.5	2	12	10	15	13	11	16	7	B-	F	IV	1c 1d 1f 1b-
4	1.5	9.5	0.5	2	9	7	19	10	15	13	11	B-	F	(IV)	2c 1d 1f
4	2	10	0.5	2	16	7	12	17	8	20	4	B-	F	(IV)	2d 1f 1b-
4	2.5	10.5	0.5	2	19	3	15	13	11	16	7	B-	F	(IV)	2d 1f 1a
4	3	11	1	4	15	13	11	16	7	19	3	B-	F	(IV)	1d 1f 2b-
5	1	12	3	12	16	7	19	3	15	13	11	F	F	I;	1c 2f 1a
6	1	15	1	4	19	3	15	13	11	16	7	D	F	vi	2d 1f 1a
6	2	16	1	4	11	16	7	19	3	15	13	G	F	ii	1d 2g 1b-
6	3	17	1	4	14	12	10	15	6	18	9	G	F	(ii)	1d 1f 1g 1b-
7	1	18	0.5	2	3	15	13	11	16	7	19	C	F	Vb	2c 1e 1g
7	1.5	18.5	0.5	2	6	18	9	14	12	10	15	C	F	(Vb)	1c 1e 1g 1b-
7	2	19	0.5	2	16	7	19	3	15	13	11	F	F	I	1c 2f 1a
7	2.5	19.5	0.5	2	12	10	15	6	18	9	14	F	F	(I)	1c 1e 1f 1a
7	3	20	0.5	2	20	4	16	7	12	17	8	D	F	vi	1d 2f 1a
7	3.5	20.5	0.5	2	16	7	19	3	15	13	11	D	F	(vi)	1c 2f 1a
8	1	21	0.5	2	16	7	12	17	8	20	4	B-	F	IVb	2d 1f 1b-
8	1.5	21.5	0.5	2	6	18	9	14	12	10	15	C	F	V7b	1c 1e 1g 1b-
8	2	22	1	4	13	11	16	7	12	10	15	F	F	I	1c 1f 1g 1a
8	3	23	1	4	16	7	19	3	15	13	11	F	F	(I)	1c 2f 1a
9	1	24	3	12	3	15	13	11	16	7	19	C	F	V;	2c 1e 1g
10	1	27	0.5	2	3	15	13	11	16	7	19	C	F	V	2c 1e 1g
10	1.5	27.5	0.5	2	10	8	13	11	16	14	12	C	F	(V)	1c 1d 1e 1f
10	2	28	1	4	3	15	13	11	16	7	19	C	F	Vb	2c 1e 1g
10	3	29	1	4	3	15	13	11	16	7	19	C	F	V	2c 1e 1g
11	1	30	0.5	2	13	11	16	7	12	10	15	F	F	I	1c 1f 1g 1a
11	1.5	30.5	0.5	2	9	14	12	10	15	6	18	F	F	(I)	1c 1e 1g 1a
11	2	31	1	4	16	7	19	3	15	13	11	F	F	(I)	1c 2f 1a
11	3	32	1	4	15	13	11	16	7	19	3	B-	F	IV	1d 1f 2b-
12	1	33	1	4	6	18	9	14	12	10	15	E	F	viioD7	1c# 1e 1g 1b-
12	2	34	1	4	21	5	17	8	13	11	9	D	F	vib	1d 1f 2a
12	3	35	0.5	2	15	6	11	23	7	19	3	B-	F	IVb	3d 1b-
