#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	4	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
1	1	1	0.5	2	3	15	13	11	16	7	19	C	G	IV	2c 1e 1g
1	1.5	1.5	0.5	2	6	18	9	14	12	10	15	C	G	(IV)	1c 1e 1g 1b
1	2	2	0.5	2	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
1	2.5	2.5	0.5	2	15	6	18	9	14	12	10	D	G	(V)	1c 1d 1f# 1a
1	3	3	0.5	2	8	20	4	16	7	12	17	E	G	vi	1e 2g 1b
1	3.5	3.5	0.5	2	5	17	8	13	11	9	21	E	G	(vi)	1c 1e 2g
1	4	4	0.5	2	13	11	9	21	5	17	8	G	G	Ib	2d 1g 1b
1	4.5	4.5	0.5	2	7	12	10	15	13	11	16	G	G	(Ib)	1c 1d 1e 1g
2	1	5	2	8	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
2	3	7	0.5	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
2	3.5	7.5	0.5	2	14	12	10	15	6	18	9	G	G	(I)	1d 1f# 1g 1b
2	4	8	1	4	5	17	8	13	11	9	21	C#	G	viib/V	1c# 1e 2g
3	1	9	2	8	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
3	4	12	1	4	11	16	7	19	3	15	13	G	G	Ib	1d 2g 1b
4	1	13	0.5	2	3	15	13	11	16	7	19	C	G	IV	2c 1e 1g
4	1.5	13.5	0.5	2	6	18	9	14	12	10	15	C	G	(IV)	1c 1e 1g 1b
4	2	14	0.5	2	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
4	2.5	14.5	0.5	2	11	9	7	19	10	15	13	D	G	(V)	2d 1e 1g
4	3	15	0.5	2	15	6	18	9	14	12	10	D	G	V7d	1c 1d 1f# 1a
4	3.5	15.5	0.5	2	12	17	8	20	4	16	7	G	G	Ib	1d 1g 2b
4	4	16	0.5	2	7	12	17	8	20	4	16	A	G	ii	2c 1e 1a
4	4.5	16.5	0.5	2	11	9	21	5	17	8	13	A	G	(ii)	2c 1f# 1a
5	1	17	0.5	2	12	17	8	20	4	16	7	G	G	Ib	1d 1g 2b
5	1.5	17.5	0.5	2	9	14	12	17	8	13	11	G	G	(Ib)	1c 1d 1g 1b
5	2	18	0.5	2	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
5	2.5	18.5	0.5	2	15	6	18	9	14	12	10	D	G	(V)	1c 1d 1f# 1a
5	3	19	1	4	11	16	7	19	3	15	13	G	G	I;	1d 2g 1b
5	4	20	1	4	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
6	1	21	0.5	2	21	5	17	8	13	11	9	D	G	Vb	1d 1f# 2a
6	1.5	21.5	0.5	2	18	9	14	12	10	15	6	D	G	(Vb)	1d 1f# 1a 1b
6	2	22	0.5	2	4	16	7	12	17	8	20	C	G	IVb	1c 2e 1g
6	2.5	22.5	0.5	2	12	10	15	6	18	9	14	C	G	(IVb)	1c 1e 1f# 1a
6	3	23	0.5	2	12	17	8	20	4	16	7	G	G	I	1d 1g 2b
6	3.5	23.5	0.5	2	6	18	9	14	12	10	15	G	G	(I)	1c 1e 1g 1b
6	4	24	0.5	2	20	4	16	7	12	17	8	D	G	Vb	1d 2f# 1a
6	4.5	24.5	0.5	2	12	10	8	13	11	16	14	D	G	(Vb)	1d 1e 1f# 1g
7	1	25	0.5	2	20	4	16	7	12	17	8	D	G	Vb	1d 2f# 1a
7	1.5	25.5	0.5	2	13	11	9	14	12	10	15	D	G	(Vb)	1d 1e 1g 1a
7	2	26	0.5	2	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
7	2.5	26.5	0.5	2	11	9	14	12	17	8	13	D	G	(V)	1c# 1d 1e 1a
7	3	27	0.5	2	13	11	9	21	5	17	8	G	G	Ib	2d 1g 1b
7	3.5	27.5	0.5	2	14	12	10	15	6	18	9	G	G	(Ib)	1d 1f# 1g 1b
7	4	28	0.5	2	13	11	16	7	19	3	15	A	G	V/V	1c# 1e 2a
7	4.5	28.5	0.5	2	9	14	12	10	15	6	18	A	G	(V/V)	1c# 1e 1g 1a
8	1	29	2	8	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
8	4	32	0.5	2	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
8	4.5	32.5	0.5	2	15	6	18	9	14	12	10	D	G	(V)	1c 1d 1f# 1a
9	1	33	0.5	2	11	16	7	19	3	15	13	G	G	Ib	1d 2g 1b
9	1.5	33.5	0.5	2	5	17	8	13	11	9	21	C	G	IV	1c 1e 2g
9	2	34	0.5	2	14	12	17	8	13	11	9	F#	G	viib	1c 1f# 1a 1b
9	2.5	34.5	0.5	2	17	8	20	4	16	7	12	F#	G	(viib)	1c 1f# 2a
9	3	35	0.5	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
9	3.5	35.5	0.5	2	4	16	14	12	10	8	20	G	G	(I)	2c 2g
9	4	36	0.5	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
9	4.5	36.5	0.5	2	21	5	17	8	13	11	9	D	G	vb	1d 1f 2a
10	1	37	0.5	2	10	15	6	18	9	14	12	E	G	V7/ii	1d 1e 1g# 1b
10	1.5	37.5	0.5	2	13	11	9	14	12	17	8	E	G	(V7/ii)	1d 1e 1f# 1b
10	2	38	0.5	2	10	15	13	11	16	7	12	A	G	ii	1c 1e 1a 1b
10	2.5	38.5	0.5	2	13	11	16	7	19	3	15	A	G	(ii)	1c 1e 2a
10	3	39	0.5	2	12	17	8	20	4	16	7	B	G	V/vi	1d# 1g 2b
