#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	4	11	16	7	19	3	15	13	G	g	i	1d 2g 1b-
1	1	1	0.5	2	11	16	7	19	3	15	13	G	g	i	1d 2g 1b-
1	1.5	1.5	0.5	2	8	20	4	16	7	12	17	G	g	(i)	1e 2g 1b-
1	2	2	0.5	2	16	7	12	17	8	20	4	B-	g	IIIb	2d 1f 1b-
1	2.5	2.5	0.5	2	6	18	9	14	12	10	15	C	g	V7b/-VII	1c 1e 1g 1b-
1	3	3	0.5	2	16	7	19	3	15	13	11	F	g	-VII	1c 2f 1a
1	3.5	3.5	0.5	2	12	10	15	6	18	9	14	F#	g	viio7	1c 1e- 1f# 1a
1	4	4	0.5	2	11	16	7	19	3	15	13	G	g	i	1d 2g 1b-
1	4.5	4.5	0.5	2	17	8	13	11	9	14	12	G	g	(i)	1d 1f 1g 1a
2	1	5	0.25	1	8	20	4	16	7	12	17	E-	g	VI	1e- 2g 1b-
2	1.25	5.25	0.25	1	12	17	8	13	11	9	14	E-	g	(VI)	1e- 1g 1a 1b-
2	1.5	5.5	0.5	2	15	13	11	16	7	19	3	B-	g	III	1d 1f 2b-
2	2	6	0.5	2	4	16	14	12	17	8	13	C	g	iv7	2c 1e- 1b-
2	2.5	6.5	0.5	2	16	7	19	3	15	13	11	F	g	-VII	1c 2f 1a
2	3	7	1	4	15	13	11	16	7	19	3	B-	g	III;	1d 1f 2b-
2	4	8	0.5	2	15	13	11	16	7	19	3	B-	g	III	1d 1f 2b-
2	4.5	8.5	0.5	2	12	10	15	13	11	16	7	B-	g	(III)	1c 1d 1f 1b-
3	1	9	0.5	2	16	7	12	17	8	20	4	B-	g	IIIb	2d 1f 1b-
3	1.5	9.5	0.5	2	15	6	18	9	14	12	10	B-	g	(IIIb)	1c 1d 1f 1a
3	2	10	0.5	2	11	16	7	19	3	15	13	G	g	i	1d 2g 1b-
3	2.5	10.5	0.5	2	8	20	4	16	7	12	17	G	g	(i)	1e- 2g 1b-
3	3	11	0.5	2	16	7	19	3	15	13	11	F	g	-VII	1c 2f 1a
3	3.5	11.5	0.5	2	12	10	15	6	18	9	14	F	g	(-VII)	1c 1e- 1f 1a
3	4	12	0.5	2	12	17	8	20	4	16	7	G	g	i	1d 1g 2b-
3	4.5	12.5	0.5	2	16	7	12	17	8	20	4	G	g	(i)	2d 1f 1b-
4	1	13	0.5	2	6	18	9	14	12	10	15	C	g	ivb	1c 1e- 1g 1b-
4	1.5	13.5	0.25	1	9	14	12	10	15	6	18	C	g	(ivb)	1c 1e- 1g 1a
4	1.75	13.75	0.25	1	5	17	8	13	11	9	21	C	g	(ivb)	1c 1e- 2g
4	2	14	0.5	2	16	7	19	3	15	13	11	F	g	V7/III	1c 2f 1a
4	2.5	14.5	0.5	2	12	10	15	6	18	9	14	F	g	(V7/III)	1c 1e- 1f 1a
4	3	15	1	4	15	13	11	16	7	19	3	B-	g	III;	1d 1f 2b-
4	4	16	0.5	2	11	16	7	19	3	15	13	G	g	i	1d 2g 1b-
4	4.5	16.5	0.5	2	14	12	10	15	6	18	9	G	g	(i)	1d 1f 1g 1b-
5	1	17	0.5	2	7	19	3	15	13	11	16	E-	g	VI	2e- 1g 1b-
5	1.5	17.5	0.5	2	14	12	10	15	13	11	9	E-	g	(VI)	1d 1e- 1a 1b-
5	2	18	0.5	2	12	10	15	13	11	16	7	B-	g	III	1c 1d 1f 1b-
5	2.5	18.5	0.5	2	15	13	11	16	7	19	3	B-	g	(III)	1d 1f 2b-
5	3	19	0.5	2	13	11	16	7	12	17	8	F	g	-VII	1c 2f 1b-
5	3.5	19.5	0.25	1	16	7	19	3	15	13	11	F	g	(-VII)	1c 2f 1a
5	3.75	19.75	0.25	1	12	10	15	6	11	16	14	F	g	(-VII)	1c 2f 1g
5	4	20	0.5	2	16	7	19	3	15	13	11	F	g	(-VII)	1c 2f 1a
5	4.5	20.5	0.5	2	12	10	15	6	18	9	14	F	g	(-VII)	1c 1e- 1f 1a
6	1	21	0.5	2	15	13	11	16	7	19	3	B-	g	III	1d 1f 2b-
6	1.5	21.5	0.5	2	14	19	10	15	6	18	2	B-	g	(III)	1f 3b-
6	2	22	0.5	2	13	11	16	7	12	17	8	F	g	-VII	1c 2f 1b-
6	2.5	22.5	0.5	2	16	7	19	3	15	13	11	F	g	(-VII)	1c 2f 1a
6	3	23	1	4	15	13	11	16	7	19	3	B-	g	III;	1d 1f 2b-
6	4	24	1	4	15	13	11	16	7	19	3	B-	g	III	1d 1f 2b-
7	1	25	0.5	2	15	13	11	16	7	19	3	B-	g	III	1d 1f 2b-
7	1.5	25.5	0.5	2	12	10	15	13	11	16	7	B-	g	(III)	1c 1d 1f 1b-
7	2	26	0.5	2	16	7	12	17	8	20	4	B-	g	III	2d 1f 1b-
7	2.5	26.5	0.5	2	13	11	9	14	12	17	8	B-	g	(III)	1d 1e- 1f 1b-
7	3	27	0.5	2	13	11	16	7	12	17	8	F	g	-VII	1c 2f 1b-
7	3.5	27.5	0.25	1	16	7	19	3	15	13	11	F	g	(-VII)	1c 2f 1a
7	3.75	27.75	0.25	1	12	10	15	6	18	9	14	F	g	(-VII)	1c 1e- 1f 1a
7	4	28	0.5	2	15	6	18	9	14	12	10	D	g	V7	1c 1d 1f# 1a
7	4.5	28.5	0.5	2	14	5	17	15	13	11	9	D	g	(V7)	1c 2d 1a
8	1	29	0.5	2	15	13	11	16	7	12	10	G	g	i	1d 1g 1a 1b-
8	1.5	29.5	0.5	2	11	16	7	19	3	15	13	G	g	(i)	1d 2g 1b-
8	2	30	0.5	2	6	18	9	14	12	10	15	C#	g	vii7o/V	1c# 1e 1g 1b-
8	2.5	30.5	0.25	1	13	11	16	7	19	3	15	C#	g	(vii7o/V)	1c# 1e 2a
8	2.75	30.75	0.25	1	6	18	9	14	12	10	15	C#	g	(vii7o/V)	1c# 1e 1g 1b-
8	3	31	1	4	19	3	15	13	11	16	7	D	g	v;	2d 1f 1a
8	4	32	0.5	2	15	13	11	16	7	19	3	B-	g	III	1d 1f 2b-
8	4.5	32.5	0.5	2	15	6	18	9	14	12	10	B-	g	(III)	1c 1d 1f 1a
9	1	33	0.5	2	11	16	7	19	3	15	13	G	g	i	1d 2g 1b-
9	1.5	33.5	0.5	2	8	13	18	9	14	5	17	G	g	(i)	2c 1g 1a
9	2	34	0.5	2	12	17	8	20	4	16	7	G	g	i	1d 1g 2b-
9	2.5	34.5	0.5	2	18	9	14	12	10	15	6	G	g	(i)	1d 1f 1a 1b-
9	3	35	1	4	6	18	9	14	12	10	15	C	g	V7b/-VII	1c 1e 1g 1b-
9	4	36	1	4	19	3	15	13	11	16	7	D	g	V	2d 1f# 1a
10	1	37	0.5	2	15	13	11	16	7	12	10	G	g	i	1d 1g 1a 1b-
10	1.5	37.5	0.5	2	6	18	9	14	12	10	15	C	g	V7/-VII	1c 1e- 1g 1b-
10	2	38	0.5	2	18	9	14	12	10	8	13	D	g	V	1d 1g 2a
10	2.5	38.5	0.5	2	19	3	15	13	11	16	7	D	g	(V)	2d 1f# 1a
10	3	39	1	4	11	16	7	19	3	15	13	G	g	i;	1d 2g 1b-
