#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	0.5	2	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
0	4.5	0.5	0.5	2	11	9	14	12	17	8	13	D	D	(I)	1c# 1d 1e 1a
1	1	1	0.5	2	17	8	13	18	9	14	5	B	D	vi7	2d 1a 1b
1	1.5	1.5	0.5	2	10	15	6	18	9	14	12	B	D	(vi7)	1d 1e 1g 1b
1	2	2	0.5	2	20	4	16	7	12	17	8	D	D	Ic	1d 2f# 1a
1	2.5	2.5	0.5	2	9	14	5	17	8	13	18	D	D	(Ic)	1d 1e 2g
1	3	3	0.5	2	21	5	17	8	13	11	9	D	D	Ib	1d 1f# 2a
1	3.5	3.5	0.5	2	15	13	11	16	7	12	10	G	D	IV	1d 1g 1a 1b
1	4	4	0.5	2	8	13	11	9	14	12	17	C#	D	viib	1c# 1e 1f# 1g
1	4.5	4.5	0.5	2	4	16	7	12	17	8	20	C#	D	(viib)	1c# 2e 1g
2	1	5	0.5	2	20	4	16	7	12	17	8	D	D	Ib	1d 2f# 1a
2	1.5	5.5	0.5	2	16	7	19	3	15	13	11	F#	D	iii	1c# 2f# 1a
2	2	6	0.5	2	13	18	9	14	12	10	8	E	D	V/V	1e 1a 2b
2	2.5	6.5	0.5	2	7	19	3	15	13	11	16	E	D	(V/V)	2e 1g# 1b
2	3	7	1	4	13	11	16	7	19	3	15	A	D	V;	1c# 1e 2a
2	4	8	0.5	2	15	13	11	16	7	19	3	B	D	vi	1d 1f# 2b
2	4.5	8.5	0.5	2	12	17	8	20	4	16	7	B	D	(vi)	1d 1g# 2b
3	1	9	0.5	2	7	12	17	8	20	4	16	A	D	Vb	2c# 1e 1a
3	1.5	9.5	0.5	2	15	6	18	9	14	12	10	A	D	(Vb)	1c# 1d 1f# 1a
3	2	10	0.5	2	7	19	3	15	13	11	16	E	D	ii	2e 1g 1b
3	2.5	10.5	0.5	2	10	15	6	18	9	14	12	E	D	(ii)	1d 1e 1g 1b
3	3	11	0.5	2	16	7	19	3	15	13	11	F#	D	iii	1c# 2f# 1a
3	3.5	11.5	0.5	2	12	10	15	6	18	9	14	F#	D	(iii)	1c# 1e 1f# 1a
