#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	8	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
1	1	1	1	8	13	11	16	7	19	3	15	A	D	Vb	1c# 1e 2a
1	2	2	0.5	4	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
1	2.5	2.5	0.5	4	8	13	11	9	21	5	17	A	D	Vb	1c# 2e 1a
1	3	3	0.5	4	15	13	11	16	7	19	3	B	D	vi	1d 1f# 2b
1	3.5	3.5	0.5	4	12	17	8	20	4	16	7	B	D	(vi)	1d 1g# 2b
1	4	4	0.5	4	17	8	20	4	16	7	12	F#	D	iii	1c# 1f# 2a
1	4.5	4.5	0.5	4	13	11	16	7	19	3	15	F#	D	(iii)	1c# 1e 2a
2	1	5	0.5	4	18	9	14	12	10	15	6	B	D	vi7	1d 1f# 1a 1b
2	1.5	5.5	0.25	2	17	15	13	11	9	14	5	B	D	(vi7)	1f# 1a 2b
2	1.75	5.75	0.125	1	14	12	17	8	13	11	9	B	D	(vi7)	1c# 1f# 1a 1b
2	1.875	5.875	0.125	1	18	9	14	12	10	15	6	B	D	(vi7)	1d 1f# 1a 1b
2	2	6	0.5	4	4	16	7	12	17	8	20	E	D	V/V	1c# 2e 1g#
2	2.5	6.5	0.5	4	7	19	3	15	13	11	16	E	D	(V/V)	2e 1g# 1b
2	3	7	1	8	13	11	16	7	19	3	15	A	D	V;	1c# 1e 2a
2	4	8	1	8	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
3	1	9	1	8	11	16	7	19	3	15	13	G	D	IV	1d 2g 1b
3	2	10	0.5	4	8	13	11	9	14	12	17	C#	D	viiob	1c# 1e 1f# 1g
3	2.5	10.5	0.5	4	4	16	7	12	17	8	20	C#	D	(viiob)	1c# 2e 1g
3	3	11	0.5	4	20	4	16	7	12	17	8	D	D	Ib	1d 2f# 1a
3	3.5	11.5	0.5	4	14	12	10	15	6	18	9	D	D	(Ib)	1d 1f# 1g# 1b
3	4	12	0.5	4	7	12	17	8	20	4	16	A	D	V	2c# 1e 1a
3	4.5	12.5	0.5	4	12	10	22	6	18	2	14	A	D	(V)	2c# 2a
4	1	13	0.5	4	18	9	14	12	10	15	6	B	D	vi7b	1d 1f# 1a 1b
4	1.5	13.5	0.5	4	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
4	2	14	0.5	4	4	16	7	12	17	8	20	E	D	V7/V	1c# 2e 1g#
4	2.5	14.5	0.5	4	10	15	6	18	9	14	12	E	D	(V7/V)	1d 1e 1g# 1b
4	3	15	1	8	13	11	16	7	19	3	15	A	D	V;	1c# 1e 2a
4	4	16	1	8	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
5	1	17	1	8	11	16	7	19	3	15	13	G	D	IV	1d 2g 1b
