#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	2	13	11	16	7	19	3	15	A	D	Vb	1c# 1e 2a
1	1	1	0.5	1	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
1	1.5	1.5	0.5	1	15	6	18	9	14	12	10	D	D	(I)	1c# 1d 1f# 1a
1	2	2	0.5	1	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
1	2.5	2.5	0.5	1	12	10	8	13	18	9	14	D	D	(I)	1d 2e 1a
1	3	3	0.5	1	21	5	17	8	13	11	9	D	D	Ib	1d 1f# 2a
1	3.5	3.5	0.5	1	17	8	13	11	16	7	12	D	D	(Ib)	1d 1e 2a
1	4	4	0.5	1	21	5	17	8	13	11	9	D	D	Ib	1d 1f# 2a
1	4.5	4.5	0.5	1	19	3	15	13	11	16	7	D	D	(Ib)	2d 1f# 1a
2	1	5	3	6	11	16	7	19	3	15	13	G	D	IV;	1d 2g 1b
2	4	8	1	2	11	16	7	19	3	15	13	G	D	IV	1d 2g 1b
3	1	9	0.5	1	9	14	12	10	15	6	18	A	D	V7	1c# 1e 1g 1a
3	1.5	9.5	0.5	1	9	14	5	17	8	13	18	A	D	(V7)	1d 1e 2g
3	2	10	0.5	1	9	14	12	10	15	6	18	A	D	V7	1c# 1e 1g 1a
3	2.5	10.5	0.5	1	12	17	8	13	11	16	7	A	D	(V7)	1e 1f# 2b
3	3	11	0.5	1	13	11	16	7	19	3	15	A	D	Vb	1c# 1e 2a
3	3.5	11.5	0.5	1	16	14	12	10	15	6	11	A	D	(Vb)	1e 2a 1b
3	4	12	0.5	1	9	14	12	10	15	6	18	A	D	V7b	1c# 1e 1g 1a
3	4.5	12.5	0.5	1	15	13	11	9	14	5	17	A	D	(V7b)	1e 1g 2a
4	1	13	1	2	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
4	2	14	1	2	19	3	15	13	11	16	7	D	D	I;	2d 1f# 1a
4	4	16	1	2	21	5	17	8	13	11	9	D	D	Ib	1d 1f# 2a
5	1	17	0.5	1	11	16	7	19	3	15	13	G	D	IV	1d 2g 1b
5	1.5	17.5	0.5	1	15	13	11	16	7	12	10	G	D	(IV)	1d 1g 1a 1b
5	2	18	1	2	9	21	5	17	8	13	11	E	D	ii	1e 1g 2b
5	3	19	0.5	1	17	8	20	4	16	7	12	D	D	Ic	1c# 1f# 2a
5	3.5	19.5	0.5	1	21	5	17	8	13	11	9	D	D	(Ic)	1d 1f# 2a
5	4	20	0.5	1	13	11	9	14	12	10	15	A	D	V7	1d 1e 1g 1a
5	4.5	20.5	0.5	1	9	14	12	10	15	6	18	A	D	(V7)	1c# 1e 1g 1a
6	1	21	3	6	19	3	15	13	11	16	7	D	D	I;	2d 1f# 1a
