#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
1	1	0	1	2	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
1	2	1	1	2	3	15	13	11	16	7	19	C	C	Ib	2c 1e 1g
1	3	2	1	2	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
2	1	3	1	2	16	7	19	3	15	13	11	F	C	IV	1c 2f 1a
2	2	4	1	2	14	12	10	15	6	18	9	G	C	V7d	1d 1f 1g 1b
2	3	5	1	2	4	16	7	12	17	8	20	C	C	Ib	1c 2e 1g
3	1	6	1	2	19	3	15	13	11	16	7	D	C	Vb/V	2d 1f# 1a
3	2	7	1	2	15	6	18	9	14	12	10	D	C	(Vb/V)	1c 1d 1f# 1a
3	3	8	1	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
4	1	9	3	6	19	3	15	13	11	16	7	D	C	V/V;	2d 1f# 1a
5	1	12	1	2	19	3	15	13	11	16	7	D	C	V/V	2d 1f# 1a
5	2	13	1	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
5	3	14	1	2	4	16	7	12	17	8	20	C	C	Ib	1c 2e 1g
6	1	15	2	4	13	11	9	21	5	17	8	G	C	Vb	2d 1g 1b
6	3	17	1	2	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
7	1	18	1	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
7	2	19	1	2	16	7	12	17	8	13	11	D	C	V/V	2d 1g 1a
7	3	20	0.5	1	19	3	15	13	11	16	7	D	C	(V/V)	2d 1f# 1a
7	3.5	20.5	0.5	1	15	6	18	9	14	12	10	D	C	(V/V)	1c 1d 1f# 1a
8	1	21	3	6	9	21	5	17	1	13	18	G	C	V;	3g 1b
9	1	24	1	2	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
9	2	25	1	2	7	19	3	15	13	11	16	E	C	Vb/vi	2e 1g# 1b
9	3	26	1	2	5	17	1	13	18	9	21	E	C	V/vi	3e 1g#
10	1	27	1	2	13	11	16	7	19	3	15	A	C	vi	1c 1e 2a
10	2	28	1	2	18	9	14	12	10	15	6	B	C	vii7d	1d 1f 1a 1b
10	3	29	1	2	9	14	12	10	15	6	18	A	C	V7/ii	1c# 1e 1g 1a
11	1	30	1	2	18	2	14	12	10	22	6	D	C	ii	2d 2f
11	2	31	1	2	4	16	7	12	17	8	20	C	C	Ib	1c 2e 1g
11	3	32	1	2	6	11	16	7	19	10	15	F	C	IV7	2c 1e 1f
12	1	33	3	6	11	16	7	19	3	15	13	G	C	V;	1d 2g 1b
13	1	36	1	2	3	15	13	11	16	7	19	C	C	Ib	2c 1e 1g
13	2	37	1	2	16	7	12	17	8	20	4	B	C	viib	2d 1f 1b
13	3	38	1	2	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
14	1	39	1	2	15	6	18	9	14	12	10	D	C	ii7b	1c 1d 1f 1a
14	2	40	1	2	12	17	8	20	4	16	7	G	C	V	1d 1g 2b
14	3	41	1	2	7	12	17	8	20	4	16	A	C	vi	2c 1e 1a
15	1	42	1	2	15	6	18	9	14	12	10	D	C	V7b/V	1c 1d 1f# 1a
15	2	43	1	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
15	3	44	1	2	11	16	7	19	3	15	13	G	C	(V)	1d 2g 1b
16	1	45	3	6	3	15	13	11	16	7	19	C	C	I;	2c 1e 1g
