#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	2	7	19	3	15	13	11	16	E	a	V	2e 1g# 1b
1	1	1	0.5	1	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
1	1.5	1.5	0.5	1	12	17	8	13	11	9	14	A	a	(i)	1e 1g# 1a 1b
1	2	2	0.5	1	12	10	15	6	18	9	14	D#	a	viio7c/V	1c 1e 1f# 1a
1	2.5	2.5	0.5	1	15	6	18	9	14	12	10	D#	a	(viio7c/V)	1c 1d# 1f# 1a
1	3	3	1	2	7	19	3	15	13	11	16	E	a	V	2e 1g# 1b
1	4	4	1	2	10	15	6	18	9	14	12	E	a	Vd	1d 1e 1g# 1b
2	1	5	1	2	7	12	17	8	20	4	16	A	a	ib	2c 1e 1a
2	2	6	0.5	1	18	9	14	12	10	15	6	D	a	iv	1d 1f 1a 1b
2	2.5	6.5	0.5	1	21	5	17	8	13	11	9	D	a	(iv)	1d 1f 2a
2	3	7	1	2	7	19	3	15	13	11	16	E	a	V;	2e 1g# 1b
2	4	8	1	2	7	19	3	15	13	11	16	E	a	V	2e 1g# 1b
3	1	9	1	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
3	2	10	1	2	9	21	5	17	8	13	11	E	a	Vb	1e 1g# 2b
3	3	11	0.5	1	17	8	20	4	16	7	12	F	a	VI	1c 1f 2a
3	3.5	11.5	0.5	1	18	9	14	12	10	15	6	F	a	(VI)	1d 1f 1a 1b
3	4	12	0.5	1	4	16	7	12	17	8	20	C	a	III	1c 2e 1g
3	4.5	12.5	0.5	1	6	11	16	14	12	10	15	C	a	(III)	2c 1d 1g
4	1	13	1	2	15	6	18	9	14	12	10	D	a	V7b/-VII	1c 1d 1f# 1a
4	2	14	0.5	1	11	16	7	19	3	15	13	G	a	-VII	1d 2g 1b
4	2.5	14.5	0.5	1	14	12	10	15	6	18	9	G	a	(-VII)	1d 1f 1g 1b
4	3	15	2	4	1	13	18	9	21	5	17	C	a	III;	3c 1e
5	1	17	1	2	11	16	7	19	3	15	13	G	a	-VII	1d 2g 1b
5	2	18	0.5	1	11	9	21	5	17	8	13	F	a	VIb	2c 1f 1a
5	2.5	18.5	0.5	1	7	12	17	8	20	4	16	F	a	(VIb)	2c 1e 1a
5	3	19	0.5	1	13	11	9	21	5	17	8	G	a	-VIIb	2d 1g 1b
5	3.5	19.5	0.5	1	13	11	9	21	5	17	8	G	a	(-VIIb)	2d 1g 1b
5	4	20	0.5	1	3	15	13	11	16	7	19	C	a	III	2c 1e 1g
5	4.5	20.5	0.5	1	7	12	17	8	20	4	16	C	a	(III)	2c 1e 1a
6	1	21	0.5	1	12	17	8	20	4	16	7	E	a	V7b	1d 1g# 2b
6	1.5	21.5	0.5	1	10	15	6	18	9	14	12	E	a	(V7b)	1d 1e 1g# 1b
6	2	22	1	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
6	3	23	2	4	7	19	3	15	13	11	16	E	a	V;	2e 1g# 1b
7	1	25	0.5	1	13	11	9	7	19	10	15	F#	a	#viD7	2e 1f# 1a
7	1.5	25.5	0.5	1	16	7	12	10	15	13	11	F#	a	(#viD7)	1d 1e 1f# 1a
7	2	26	0.5	1	10	15	6	18	9	14	12	E	a	V7b	1d 1e 1g# 1b
7	2.5	26.5	0.5	1	6	18	9	14	12	10	15	E	a	(V7b)	1c 1e 1g# 1b
7	3	27	0.5	1	7	12	17	8	20	4	16	A	a	ib	2c 1e 1a
7	3.5	27.5	0.5	1	6	18	9	14	12	10	15	A	a	(ib)	1c 1e 1g 1b
7	4	28	0.5	1	21	5	17	8	13	11	9	D	a	ivb	1d 1f 2a
7	4.5	28.5	0.5	1	10	15	6	11	16	7	19	D	a	(ivb)	2e 1g 1a
8	1	29	1	2	18	9	14	12	10	15	6	D	a	iv	1d 1f 1a 1b
8	2	30	0.5	1	7	19	3	15	13	11	16	E	a	V7	2e 1g# 1b
8	2.5	30.5	0.5	1	10	15	6	18	9	14	12	E	a	(V7)	1d 1e 1g# 1b
8	3	31	2	4	13	11	16	7	19	3	15	A	a	i;	1c 1e 2a
