#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	0.5	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
0	4.5	0.5	0.5	2	14	12	10	15	13	11	9	A	a	(i)	1d 1e 1a 1b
1	1	1	0.5	2	7	12	17	8	20	4	16	A	a	ib	2c 1e 1a
1	1.5	1.5	0.5	2	10	15	13	11	16	7	12	A	a	(ib)	1c 1e 1a 1b
1	2	2	0.5	2	11	16	7	12	17	8	13	E	a	V	2e 1a 1b
1	2.5	2.5	0.5	2	7	19	3	15	13	11	16	E	a	(V)	2e 1g# 1b
1	3	3	0.5	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
1	3.5	3.5	0.5	2	17	8	20	4	16	7	12	A	a	(i)	1c 1f# 2a
1	4	4	1	4	12	17	8	20	4	16	7	G#	a	viiob	1d 1g# 2b
2	1	5	0.5	2	13	11	16	7	19	3	15	A	a	ib	1c 1e 2a
2	1.5	5.5	0.5	2	9	14	12	10	15	6	18	A	a	(ib)	1c 1e 1g 1a
2	2	6	0.5	2	16	7	12	17	8	20	4	B	a	iiob	2d 1f 1b
2	2.5	6.5	0.5	2	12	10	15	13	11	16	7	B	a	(iiob)	1c 1d 1f 1b
2	3	7	1.5	6	7	19	3	15	13	11	16	E	a	V	2e 1g# 1b
2	4.5	8.5	0.5	2	13	11	9	7	19	10	15	E	a	(V)	2e 1f# 1a
3	1	9	1	4	7	19	3	15	13	11	16	E	a	V;	2e 1g# 1b
3	2	10	1	4	7	19	3	15	13	11	16	E	a	v	2e 1g 1b
3	3	11	1	4	9	14	12	10	15	6	18	A	a	i7	1c 1e 1g 1a
3	4	12	0.5	2	16	7	12	17	8	20	4	B	a	iio	2d 1f 1b
3	4.5	12.5	0.5	2	15	6	18	9	14	12	10	B	a	(iio)	1c 1d 1f 1a
4	1	13	0.5	2	10	15	6	18	9	14	12	E	a	V7b	1d 1e 1g# 1b
4	1.5	13.5	0.5	2	9	14	12	10	15	6	18	A	a	V7c/IV	1c# 1e 1g 1a
4	2	14	0.5	2	21	5	17	8	13	11	9	D	a	IVb	1d 1f# 2a
4	2.5	14.5	0.5	2	18	9	14	12	10	15	6	D#	a	Fr	1d# 1f 1a 1b
4	3	15	0.5	2	8	13	11	9	21	5	17	A	a	ic	1c 2e 1a
4	3.5	15.5	0.5	2	15	13	11	16	7	19	3	B	a	Vb/V	1d# 1f# 2b
4	4	16	0.5	2	7	19	3	15	13	11	16	E	a	V7	2e 1g# 1b
4	4.5	16.5	0.25	1	4	16	7	12	17	8	20	E	a	(V7)	1c 2e 1g#
4	4.75	16.75	0.25	1	8	13	4	16	14	12	17	E	a	(V7)	1d 2e 1g#
5	1	17	3	12	13	11	16	7	19	3	15	A	a	i;	1c 1e 2a
5	4	20	1	4	7	19	3	15	13	11	16	E	a	V	2e 1g# 1b
6	1	21	1	4	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
6	2	22	1	4	13	11	9	21	5	17	8	G	a	-VII	2d 1g 1b
6	3	23	0.5	2	3	15	13	11	16	7	19	C	a	III	2c 1e 1g
6	3.5	23.5	0.5	2	6	18	9	14	12	10	15	C	a	(III)	1c 1e 1g 1b
6	4	24	0.5	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
6	4.5	24.5	0.5	2	9	14	12	10	15	6	18	A	a	(i)	1c 1e 1g 1a
7	1	25	0.5	2	15	6	18	9	14	12	10	D	a	iv7	1c 1d 1f 1a
7	1.5	25.5	0.25	1	11	9	14	12	17	8	13	D	a	(iv7)	1c 1d 1e 1a
7	1.75	25.75	0.25	1	15	6	18	9	14	12	10	D	a	(iv7)	1c 1d 1f 1a
7	2	26	0.5	2	11	16	7	19	3	15	13	G	a	V7/III	1d 2g 1b
7	2.5	26.5	0.5	2	14	12	10	15	6	18	9	G	a	(V7/III)	1d 1f 1g 1b
7	3	27	1	4	3	15	13	11	16	7	19	C	a	III;	2c 1e 1g
7	4	28	1	4	8	13	11	9	21	5	17	A	a	I	1c# 2e 1a
8	1	29	0.5	2	19	3	15	13	11	16	7	D	a	IV	2d 1f# 1a
8	1.5	29.5	0.5	2	8	13	4	16	14	12	17	E	a	V7	1d 2e 1g#
8	2	30	0.5	2	12	10	15	6	18	9	14	F	a	vi7	1c 1e 1f 1a
8	2.5	30.5	0.5	2	12	10	15	6	18	9	14	F#	a	viio/-VII	1c 1e- 1f# 1a
8	3	31	0.5	2	11	16	7	19	3	15	13	G	a	-VII	1d 2g 1b
8	3.5	31.5	0.5	2	14	12	10	15	6	18	9	G#	a	viio7	1d 1f 1g# 1b
8	4	32	0.5	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
8	4.5	32.5	0.5	2	13	18	9	14	12	10	8	A	a	(i)	1e 1a 2b
9	1	33	0.5	2	15	6	18	9	14	12	10	D#	a	viio7/V	1c 1d# 1f# 1a
9	1.5	33.5	0.5	2	18	9	14	12	10	15	6	D#	a	(viio7/V)	1d# 1f# 1a 1b
9	2	34	0.5	2	7	19	3	15	13	11	16	E	a	V7	2e 1g# 1b
9	2.5	34.5	0.5	2	10	15	6	18	9	14	12	E	a	(V7)	1d 1e 1g# 1b
9	3	35	1	4	13	11	16	7	19	3	15	A	a	I;	1c# 1e 2a
