#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	4	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
1	1	1	0.5	2	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
1	1.5	1.5	0.5	2	10	15	13	11	16	7	12	A	A	(I)	1c# 1e 1a 1b
1	2	2	0.5	2	7	12	17	8	20	4	16	A	A	Ib	2c# 1e 1a
1	2.5	2.5	0.5	2	13	11	16	7	19	3	15	A	A	(Ib)	1c# 1e 2a
1	3	3	0.5	2	19	3	15	13	11	16	7	D	A	IV	2d 1f# 1a
1	3.5	3.5	0.5	2	16	7	12	10	15	13	11	D	A	(IV)	1d 1e 1f# 1a
1	4	4	0.5	2	20	4	16	7	12	17	8	D	A	IVb	1d 2f# 1a
1	4.5	4.5	0.5	2	19	3	15	13	11	16	7	D	A	(IVb)	2d 1f# 1a
2	1	5	2	8	13	11	16	7	19	3	15	A	A	I;	1c# 1e 2a
2	4	8	1	4	17	8	20	4	16	7	12	F#	A	vib	1c# 1f# 2a
3	1	9	1	4	10	15	6	18	9	14	12	E	A	V7b	1d 1e 1g# 1b
3	2	10	1	4	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
3	3	11	0.5	2	7	19	3	15	13	11	16	E	A	V7	2e 1g# 1b
3	3.5	11.5	0.5	2	10	15	6	18	9	14	12	E	A	(V7)	1d 1e 1g# 1b
3	4	12	0.5	2	7	12	17	8	20	4	16	A	A	Ib	2c# 1e 1a
3	4.5	12.5	0.25	1	13	11	16	7	19	3	15	A	A	(Ib)	1c# 1e 2a
3	4.75	12.75	0.25	1	17	8	13	11	16	7	12	A	A	(Ib)	1d 1e 2a
4	1	13	0.5	2	11	16	7	12	17	8	13	E	A	V7	2e 1a 1b
4	1.5	13.5	0.25	1	13	11	9	14	12	17	8	E	A	(V7)	1d 1e 1f# 1b
4	1.75	13.75	0.25	1	9	14	12	10	15	13	11	E	A	(V7)	1c# 1e 1f# 1b
4	2	14	1	4	10	15	6	18	9	14	12	E	A	(V7)	1d 1e 1g# 1b
4	3	15	1	4	13	11	16	7	19	3	15	A	A	I;	1c# 1e 2a
4	4	16	0.5	2	9	21	5	17	8	13	11	E	A	V	1e 1g# 2b
4	4.5	16.5	0.5	2	15	13	11	9	14	12	10	E	A	(V)	1e 1f# 1a 1b
5	1	17	0.5	2	7	19	3	15	13	11	16	E	A	V	2e 1g# 1b
5	1.5	17.5	0.5	2	15	13	11	9	14	12	10	E	A	(V)	1e 1f# 1a 1b
5	2	18	0.5	2	9	21	5	17	8	13	11	E	A	Vb	1e 1g# 2b
5	2.5	18.5	0.5	2	8	20	4	16	14	12	10	E	A	(Vb)	2e 2b
5	3	19	0.5	2	10	15	13	11	16	7	12	A	A	I	1c# 1e 1a 1b
5	3.5	19.5	0.25	1	10	15	13	11	16	7	12	A	A	(I)	1c# 1e 1a 1b
5	3.75	19.75	0.25	1	6	18	9	14	12	10	15	A	A	(I)	1c# 1e 1g# 1b
5	4	20	0.5	2	7	12	17	8	20	4	16	A	A	Ib	2c# 1e 1a
5	4.5	20.5	0.5	2	13	11	16	7	19	3	15	A	A	(Ib)	1c# 1e 2a
6	1	21	2	8	7	19	3	15	13	11	16	E	A	V;	2e 1g# 1b
6	4	24	1	4	7	19	3	15	13	11	16	E	A	V	2e 1g# 1b
7	1	25	0.5	2	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
7	1.5	25.5	0.5	2	14	12	10	15	13	11	9	A	A	(I)	1d# 1e 1a 1b
7	2	26	0.5	2	4	16	7	12	17	8	20	C#	A	iii	1c# 2e 1g#
7	2.5	26.5	0.5	2	6	18	2	14	12	10	22	C#	A	(iii)	2e 2g#
7	3	27	0.5	2	12	10	15	6	18	9	14	F#	A	vi7b	1c# 1e 1f# 1a
7	3.5	27.5	0.5	2	11	9	14	5	17	15	13	F#	A	(vi7b)	1c# 1e 2f#
7	4	28	0.5	2	15	13	11	16	7	19	3	B	A	V/V	1d# 1f# 2b
7	4.5	28.5	0.5	2	15	13	11	16	7	19	3	B	A	(V/V)	1d# 1f# 2b
8	1	29	2	8	7	19	3	15	13	11	16	E	A	V;	2e 1g# 1b
8	4	32	1	4	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
9	1	33	0.5	2	19	3	15	13	11	16	7	D	A	IV	2d 1f# 1a
9	1.5	33.5	0.5	2	12	10	15	13	11	16	7	D	A	(IV)	1c# 1d 1f# 1b
9	2	34	0.5	2	4	16	14	12	17	8	13	A#	A	vii/ii	2c# 1e 1b
9	2.5	34.5	0.5	2	7	12	17	8	20	4	16	A#	A	(vii/ii)	2c# 1e 1a#
9	3	35	0.5	2	12	10	15	13	11	16	7	B	A	ii	1c# 1d 1f# 1b
9	3.5	35.5	0.5	2	16	7	12	17	8	20	4	B	A	(ii)	2d 1f# 1b
9	4	36	0.5	2	6	18	9	14	12	10	15	C#	A	iiio7b	1c# 1e 1g 1b
9	4.5	36.5	0.5	2	16	7	19	3	15	13	11	F#	A	V/ii	1c# 2f# 1a#
10	1	37	2	8	15	13	11	16	7	19	3	B	A	ii;	1d 1f# 2b
10	4	40	0.5	2	7	12	17	8	20	4	16	A	A	Ib	2c# 1e 1a
10	4.5	40.5	0.5	2	11	9	14	12	17	8	13	A	A	(Ib)	1c# 1d 1e 1a
11	1	41	1	4	7	19	3	15	13	11	16	E	A	V	2e 1g# 1b
11	2	42	0.5	2	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
11	2.5	42.5	0.25	1	16	7	19	3	15	13	11	F#	A	vi	1c# 2f# 1a
11	2.75	42.75	0.25	1	20	4	16	7	12	17	8	F#	A	(vi)	1d 2f# 1a
11	3	43	0.5	2	18	9	14	12	10	15	6	B	A	ii7b	1d 1f# 1a 1b
11	3.5	43.5	0.5	2	16	14	12	17	8	13	4	B	A	(ii7b)	1d 1a 2b
11	4	44	0.5	2	9	21	5	17	8	13	11	E	A	V	1e 1g# 2b
11	4.5	44.5	0.25	1	12	17	8	13	11	9	14	E	A	(V)	1e 1g# 1a 1b
11	4.75	44.75	0.25	1	10	15	6	11	16	7	19	E	A	(V)	2e 1g# 1a
12	1	45	3	12	13	11	16	7	19	3	15	A	A	I;	1c# 1e 2a
