#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	3	0	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
1	1	1	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
1	2	2	0.5	1	4	16	7	12	17	8	20	E	G	IVb[vi]	1c 2e 1g
1	2.5	2.5	0.5	1	7	19	3	15	13	11	16	E	G	(IVb[vi])	2e 1g 1b
1	3	3	1	2	19	3	15	13	11	16	7	D	G	Vb	2d 1f# 1a
2	1	4	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
2	2	5	0.5	1	16	7	12	17	8	20	4	D	G	V	2d 1f# 1b
2	2.5	5.5	0.5	1	19	3	15	13	11	16	7	D	G	(V)	2d 1f# 1a
2	3	6	1	2	8	20	4	16	7	12	17	E	G	vi	1e 2g 1b
3	1	7	0.5	1	3	15	13	11	16	7	19	C	G	IV	2c 1e 1g
3	1.5	7.5	0.5	1	9	14	12	17	8	13	11	C	G	(IV)	1c 1d 1g 1b
3	2	8	0.5	1	6	18	9	14	12	10	15	C	G	IV7d	1c 1e 1g 1b
3	2.5	8.5	0.5	1	17	8	20	4	16	7	12	F#	G	viiob	1c 1f# 2a
3	3	9	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
4	1	10	2	4	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
4	3	12	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
5	1	13	1	2	19	3	15	13	11	16	7	D	G	Vb	2d 1f# 1a
5	2	14	1	2	10	15	6	18	9	14	12	E	G	vi7b	1d 1e 1g 1b
5	3	15	1	2	11	9	21	5	17	8	13	F#	G	viiob	2c 1f# 1a
6	1	16	1	2	12	17	8	20	4	16	7	G	G	Ib	1d 1g 2b
6	2	17	1	2	9	14	12	10	15	6	18	A	G	ii7b	1c 1e 1g 1a
6	3	18	0.5	1	19	3	15	13	11	16	7	D	G	V7	2d 1f# 1a
6	3.5	18.5	0.5	1	15	6	18	9	14	12	10	D	G	(V7)	1c 1d 1f# 1a
7	1	19	2	4	11	16	7	19	3	15	13	G	G	I;	1d 2g 1b
7	3	21	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
8	1	22	0.5	1	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
8	1.5	22.5	0.5	1	14	12	10	15	6	18	9	G	G	(I)	1d 1f# 1g 1b
8	2	23	0.5	1	7	12	17	8	20	4	16	A	G	ii	2c 1e 1a
8	2.5	23.5	0.5	1	11	9	21	5	17	8	13	A	G	(ii)	2c 1f# 1a
8	3	24	0.5	1	12	17	8	20	4	16	7	G	G	Ib	1d 1g 2b
8	3.5	24.5	0.5	1	15	13	11	16	7	12	10	G	G	(Ib)	1d 1g 1a 1b
9	1	25	0.5	1	12	17	8	20	4	16	7	G	G	Ib	1d 1g 2b
9	1.5	25.5	0.5	1	13	11	16	14	12	10	8	G	G	(Ib)	1c 1d 1a 1b
9	2	26	0.5	1	13	11	9	21	5	17	8	G	G	(Ib)	2d 1g 1b
9	2.5	26.5	0.5	1	15	6	18	9	14	12	10	D	G	V7c	1c 1d 1f# 1a
9	3	27	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
10	1	28	2	4	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
10	3	30	1	2	7	19	3	15	13	11	16	E	G	vi	2e 1g 1b
11	1	31	1	2	7	19	3	15	13	11	16	E	G	vi	2e 1g 1b
11	2	32	0.5	1	15	13	11	16	7	19	3	B	G	iiib[Ic]	1d 1f# 2b
11	2.5	32.5	0.5	1	12	17	8	20	4	16	7	B	G	(iiib[Ic])	1d 1g 2b
11	3	33	1	2	7	12	17	8	20	4	16	A	G	iib	2c 1e 1a
12	1	34	1	2	17	8	13	18	9	14	5	G	G	Ib	2d 1a 1b
12	2	35	0.5	1	13	11	9	21	5	17	8	G	G	(Ib)	2d 1g 1b
12	2.5	35.5	0.5	1	10	8	13	18	9	14	12	G	G	(Ib)	1c 2d 1g
12	3	36	0.5	1	10	8	13	18	9	14	12	D	G	V7	1c 2d 1g
12	3.5	36.5	0.5	1	13	4	16	14	12	17	8	D	G	(V7)	1c 2d 1f#
13	1	37	0.5	1	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
13	1.5	37.5	0.5	1	15	13	11	16	7	12	10	G	G	(I)	1d 1g 1a 1b
13	2	38	1	2	12	17	8	20	4	16	7	G	G	Ib	1d 1g 2b
13	3	39	1	2	14	12	10	15	6	18	9	G	G	V7/IV	1d 1f 1g 1b
14	1	40	2	4	3	15	13	11	16	7	19	C	G	IV;	2c 1e 1g
14	3	42	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
15	1	43	0.5	1	19	3	15	13	11	16	7	D	G	Vb	2d 1f# 1a
15	1.5	43.5	0.5	1	15	6	18	9	14	12	10	D	G	(Vb)	1c 1d 1f# 1a
15	2	44	0.5	1	15	13	11	16	7	12	10	G	G	I	1d 1g 1a 1b
15	2.5	44.5	0.5	1	11	16	7	19	3	15	13	G	G	(I)	1d 2g 1b
15	3	45	1	2	11	9	21	5	17	8	13	F#	G	viiob	2c 1f# 1a
16	1	46	1	2	12	17	8	20	4	16	7	G	G	I	1d 1g 2b
16	2	47	1	2	11	16	7	19	3	15	13	G	G	(I)	1d 2g 1b
16	3	48	0.5	1	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
16	3.5	48.5	0.5	1	15	6	18	9	14	12	10	D	G	(V)	1c 1d 1f# 1a
17	1	49	0.5	1	11	16	7	12	10	15	13	E	G	vi	1e 1f# 1g 1b
17	1.5	49.5	0.5	1	10	15	6	18	9	14	12	E	G	(vi)	1d 1e 1g 1b
17	2	50	0.5	1	3	15	13	11	16	7	19	C	G	IV	2c 1e 1g
17	2.5	50.5	0.5	1	14	12	17	8	13	11	9	F#	G	viio7d	1c 1f# 1a 1b
17	3	51	0.5	1	15	13	11	16	7	12	10	G	G	I	1d 1g 1a 1b
17	3.5	51.5	0.5	1	11	16	7	19	3	15	13	G	G	(I)	1d 2g 1b
18	1	52	2	4	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
18	3	54	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
19	1	55	1	2	16	7	12	17	8	13	11	D	G	Vb	2d 1g 1a
19	2	56	1	2	19	3	15	13	11	16	7	D	G	(Vb)	2d 1f# 1a
19	3	57	0.5	1	4	16	7	12	17	8	20	C	G	IVb	1c 2e 1g
19	3.5	57.5	0.5	1	7	12	10	8	20	11	16	C	G	(IVb)	1c 2e 1f#
20	1	58	0.5	1	7	19	3	15	13	11	16	E	G	vi	2e 1g 1b
20	1.5	58.5	0.5	1	10	15	6	18	9	14	12	E	G	(vi)	1d 1e 1g 1b
20	2	59	1	2	9	14	12	10	15	6	18	A	G	ii7b	1c 1e 1g 1a
20	3	60	0.5	1	19	3	15	13	11	16	7	D	G	V7	2d 1f# 1a
20	3.5	60.5	0.5	1	15	6	18	9	14	12	10	D	G	(V7)	1c 1d 1f# 1a
21	1	61	2	4	11	16	7	19	3	15	13	G	G	I;	1d 2g 1b
