#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
1	1	0	0.5	2	15	13	11	16	7	19	3	B	b	i	1d 1f# 2b
1	1.5	0.5	0.5	2	18	9	14	12	10	15	6	B	b	(i)	1d 1f# 1a 1b
1	2	1	0.5	2	6	18	9	14	12	10	15	E	b	ivb	1c# 1e 1g 1b
1	2.5	1.5	0.5	2	9	21	5	17	8	13	11	E	b	(ivb)	1e 1g 2b
1	3	2	0.5	2	16	7	19	3	15	13	11	F#	b	v	1c# 2f# 1a
1	3.5	2.5	0.5	2	12	10	15	6	18	9	14	F#	b	(v)	1c# 1e 1f# 1a
1	4	3	0.5	2	16	7	12	17	8	20	4	B	b	ib	2d 1f# 1b
1	4.5	3.5	0.25	1	12	17	8	20	4	16	7	G	b	vib	1d 1g 2b
1	4.75	3.75	0.25	1	16	14	12	17	8	13	4	G	b	(vib)	1d 1a 2b
2	1	4	0.5	2	6	18	9	14	12	10	15	E	b	iv	1c# 1e 1g 1b
2	1.5	4.5	0.5	2	15	13	11	16	7	19	3	B	b	ib	1d 1f# 2b
2	2	5	0.5	2	5	17	8	13	18	9	14	A	b	-VIIc	1c# 2e 1b
2	2.5	5.5	0.5	2	12	10	15	6	18	9	14	F#	b	V7	1c# 1e 1f# 1a#
2	3	6	2	8	15	13	11	16	7	19	3	B	b	i;	1d 1f# 2b
3	1	8	0.5	2	15	13	11	16	7	19	3	B	b	i	1d 1f# 2b
3	1.5	8.5	0.5	2	8	13	18	9	14	12	10	B	b	(i)	2c# 1f# 1b
3	2	9	0.5	2	15	13	11	16	7	19	3	B	b	i	1d 1f# 2b
3	2.5	9.5	0.5	2	12	17	8	20	4	16	7	B	b	(i)	1d 1g# 2b
3	3	10	0.5	2	13	11	16	7	19	3	15	A	b	-VII	1c# 1e 2a
3	3.5	10.5	0.5	2	9	14	12	10	15	6	18	A	b	(-VII)	1c# 1e 1g 1a
3	4	11	0.5	2	19	3	15	13	11	16	7	B	b	ic	2d 1f# 1a
3	4.5	11.5	0.5	2	16	7	12	17	8	20	4	B	b	(ic)	2d 1f# 1b
4	1	12	1	4	4	16	7	12	17	8	20	C#	b	iio	1c# 2e 1g
4	2	13	0.5	2	19	3	15	13	11	16	7	D	b	V/VI	2d 1f# 1a
4	2.5	13.5	0.25	1	17	8	13	11	9	21	5	D	b	(V/VI)	1d 2f# 1b
4	2.75	13.75	0.25	1	14	5	17	8	13	18	9	D	b	(V/VI)	1c 1d 2f#
4	3	14	2	8	11	16	7	19	3	15	13	G	b	VI;	1d 2g 1b
5	1	16	0.5	2	21	5	17	8	13	11	9	D	b	Vb/VI	1d 1f# 2a
5	1.5	16.5	0.5	2	17	8	13	11	16	7	12	D	b	(Vb/VI)	1d 1e 2a
5	2	17	0.5	2	12	10	8	13	18	9	14	A	b	Vb/III	1d 2e 1a
5	2.5	17.5	0.5	2	8	13	11	9	21	5	17	A	b	(Vb/III)	1c# 2e 1a
5	3	18	0.5	2	19	3	15	13	11	16	7	D	b	III	2d 1f# 1a
5	3.5	18.5	0.5	2	11	9	14	12	17	8	13	A#	b	viio	1c# 1d 1e 1a#
5	4	19	0.5	2	12	17	8	20	4	16	7	G	b	VI	1d 1g 2b
5	4.5	19.5	0.5	2	15	13	11	16	7	19	3	G	b	(VI)	1d 1f# 2b
6	1	20	0.5	2	4	16	7	12	17	8	20	C#	b	iiob	1c# 2e 1g
6	1.5	20.5	0.5	2	10	15	6	18	9	14	12	C#	b	(iiob)	1d 1e 1g 1b
6	2	21	0.5	2	11	9	21	5	17	8	13	F#	b	V	2c# 1f# 1a#
6	2.5	21.5	0.5	2	16	7	19	3	15	13	11	F#	b	(V)	1c# 2f# 1a#
6	3	22	2	8	15	13	11	16	7	19	3	B	b	i;	1d 1f# 2b
7	1	24	0.5	2	15	13	11	16	7	19	3	B	b	i	1d 1f# 2b
7	1.5	24.5	0.5	2	18	9	14	12	10	15	6	B	b	(i)	1d 1f# 1a 1b
7	2	25	0.5	2	6	18	9	14	12	10	15	E#	b	viib/V	1c# 1e# 1g# 1b
7	2.5	25.5	0.5	2	9	21	5	17	8	13	11	E#	b	(viib/V)	1e# 1g# 2b
7	3	26	0.5	2	16	7	19	3	15	13	11	F#	b	v	1c# 2f# 1a
7	3.5	26.5	0.5	2	9	14	12	10	15	6	18	F#	b	(v)	1c# 1e 1g# 1a
7	4	27	0.5	2	20	4	16	7	12	17	8	D	b	IIIb	1d 2f# 1a
7	4.5	27.5	0.5	2	14	12	10	15	6	18	9	D	b	(IIIb)	1d 1f# 1g# 1b
8	1	28	0.5	2	12	10	15	6	18	9	14	F#	b	V7b	1c# 1e 1f# 1a#
8	1.5	28.5	0.5	2	13	18	9	21	5	17	1	B	b	i	1d 3b
8	2	29	0.25	1	8	13	18	9	14	12	10	F#	b	V	2c# 1f# 1b
8	2.25	29.25	0.25	1	12	10	15	13	11	16	7	F#	b	(V)	1c# 1d 1f# 1b
8	2.5	29.5	0.5	2	12	10	15	6	18	9	14	F#	b	(V)	1c# 1e 1f# 1a#
8	3	30	2	8	15	13	11	16	7	19	3	B	b	I;	1d# 1f# 2b
