#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	0.5	1	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
0	4.5	0.5	0.5	1	18	9	14	12	10	15	6	B-	B-	(I)	1d 1f 1a 1b-
1	1	1	0.5	1	11	16	7	19	3	15	13	G	B-	vi	1d 2g 1b-
1	1.5	1.5	0.5	1	8	20	4	16	7	12	17	G	B-	(vi)	1e- 2g 1b-
1	2	2	1	2	18	9	14	12	10	15	6	B-	B-	V7b/IV	1d 1f 1a- 1b-
1	3	3	0.5	1	7	19	3	15	13	11	16	E-	B-	IV	2e- 1g 1b-
1	3.5	3.5	0.5	1	10	15	6	18	9	14	12	E-	B-	(IV)	1d 1e- 1g 1b-
1	4	4	1	2	3	15	13	11	16	7	19	C	B-	Vb/V	2c 1e 1g
2	1	5	0.5	1	13	11	16	7	12	10	15	F	B-	v	1c 1f 1g 1a-
2	1.5	5.5	0.5	1	16	7	19	3	15	13	11	F	B-	(v)	1c 2f 1a-
2	2	6	0.5	1	10	15	13	11	9	14	12	C	B-	V7/V	1c 1f 1g 1b-
2	2.5	6.5	0.5	1	6	18	9	14	12	10	15	C	B-	(V7/V)	1c 1e 1g 1b-
2	3	7	1	2	21	5	17	1	13	18	9	F	B-	V;	3f 1a
2	4	8	1	2	11	9	21	5	17	8	13	F	B-	Vb	2c 1f 1a
3	1	9	0.5	1	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
3	1.5	9.5	0.5	1	18	9	14	12	10	15	6	B-	B-	(I)	1d 1f 1a 1b-
3	2	10	1	2	3	15	13	11	16	7	19	C	B-	V/V	2c 1e 1g
3	3	11	1	2	17	8	13	11	9	21	5	B-	B-	IVb/V	1d 2f 1b-
3	4	12	0.5	1	7	12	17	8	20	4	16	C	B-	Vb/V	2c 1e 1a
3	4.5	12.5	0.5	1	3	15	13	11	16	7	19	C	B-	(Vb/V)	2c 1e 1g
