#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	2	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
1	1	1	0.5	1	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
1	1.5	1.5	0.5	1	17	8	13	11	16	7	12	A	A	(I)	1d 1e 2a
1	2	2	1	2	7	19	3	15	13	11	16	E	A	Vb	2e 1g# 1b
1	3	3	1	2	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
1	4	4	0.5	1	18	9	14	5	17	8	13	D	A	IVb	1e 1f# 2a
1	4.5	4.5	0.5	1	21	5	17	8	13	11	9	D	A	(IVb)	1d 1f# 2a
2	1	5	0.5	1	11	16	7	19	3	15	13	G	A	IV/IV	1d 2g 1b
2	1.5	5.5	0.5	1	14	12	10	15	6	18	9	G	A	(IV/IV)	1d 1f# 1g 1b
2	2	6	1	2	13	11	16	7	19	3	15	A	A	V/IV	1c# 1e 2a
2	3	7	1	2	19	3	15	13	11	16	7	D	A	I/IV;	2d 1f# 1a
2	4	8	1	2	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
3	1	9	0.5	1	7	19	3	15	13	11	16	E	A	V	2e 1g# 1b
3	1.5	9.5	0.5	1	10	15	6	18	9	14	12	E	A	(V)	1d 1e 1g# 1b
3	2	10	0.5	1	17	8	20	4	16	7	12	F#	A	vi	1c# 1f# 2a
3	2.5	10.5	0.5	1	13	11	16	7	19	3	15	F#	A	(vi)	1c# 1e 2a
3	3	11	0.5	1	19	3	15	13	11	16	7	D	A	IV	2d 1f# 1a
3	3.5	11.5	0.5	1	16	7	12	10	15	13	11	D	A	(IV)	1d 1e 1f# 1a
3	4	12	0.5	1	20	4	16	7	12	17	8	D	A	IVb	1d 2f# 1a
3	4.5	12.5	0.5	1	14	12	10	15	6	18	9	D	A	(IVb)	1d 1f# 1g# 1b
4	1	13	0.5	1	7	12	17	8	20	4	16	A	A	I	2c# 1e 1a
4	1.5	13.5	0.5	1	10	15	13	11	16	7	12	A	A	(I)	1c# 1e 1a 1b
4	2	14	0.5	1	7	12	17	8	20	4	16	A	A	Ib	2c# 1e 1a
4	2.5	14.5	0.5	1	11	9	14	12	17	8	13	A	A	(Ib)	1c# 1d 1e 1a
4	3	15	0.5	1	11	16	7	12	17	8	13	E	A	V	2e 1a 1b
4	3.5	15.5	0.5	1	14	12	10	8	20	4	16	E	A	(V)	2e 2a
4	4	16	0.5	1	7	19	3	15	13	11	16	E	A	V	2e 1g# 1b
4	4.5	16.5	0.5	1	10	15	6	18	9	14	12	E	A	(V)	1d 1e 1g# 1b
5	1	17	3	6	13	11	16	7	19	3	15	A	A	I;	1c# 1e 2a
5	4	20	1	2	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
6	1	21	0.5	1	7	19	3	15	13	11	16	E	A	V	2e 1g# 1b
6	1.5	21.5	0.5	1	10	15	6	18	9	14	12	E	A	(V)	1d 1e 1g# 1b
6	2	22	1	2	3	15	13	11	16	7	19	C#	A	Vb/vi	2c# 1e# 1g#
6	3	23	0.5	1	16	7	19	3	15	13	11	F#	A	vi	1c# 2f# 1a
6	3.5	23.5	0.5	1	12	10	15	6	18	9	14	F#	A	(vi)	1c# 1e 1f# 1a
6	4	24	0.5	1	15	13	11	16	7	19	3	B	A	V/V	1d# 1f# 2b
6	4.5	24.5	0.5	1	18	9	14	12	10	15	6	B	A	(V/V)	1d# 1f# 1a 1b
7	1	25	1	2	8	20	4	16	7	12	17	E	A	Vb	1e 2g# 1b
7	2	26	0.5	1	18	9	14	5	17	8	13	D#	A	viib/V	1e 1f# 2a
7	2.5	26.5	0.5	1	21	5	17	8	13	11	9	D#	A	(viib/V)	1d# 1f# 2a
7	3	27	1	2	7	19	3	15	13	11	16	E	A	V;	2e 1g# 1b
7	4	28	1	2	3	15	13	11	16	7	19	C#	A	V/vi	2c# 1e# 1g#
8	1	29	0.5	1	17	8	20	4	16	7	12	F#	A	vi	1c# 1f# 2a
8	1.5	29.5	0.5	1	13	11	16	7	19	3	15	F#	A	(vi)	1c# 1e 2a
8	2	30	0.5	1	20	4	16	7	12	17	8	D	A	IVb	1d 2f# 1a
8	2.5	30.5	0.5	1	17	8	13	11	9	14	12	D	A	(IVb)	1d 1f# 1g# 1a
8	3	31	0.5	1	13	11	16	7	19	3	15	A	A	I	1c# 1e 2a
8	3.5	31.5	0.5	1	14	12	10	15	13	11	9	A	A	(I)	1d 1e 1a 1b
8	4	32	0.5	1	17	8	20	4	16	7	12	F#	A	vib	1c# 1f# 2a
8	4.5	32.5	0.5	1	10	22	6	18	2	14	12	G#	A	vii	2g# 2b
9	1	33	1	2	17	8	20	4	16	7	12	F#	A	vi	1c# 1f# 2a
9	2	34	0.5	1	7	12	17	8	20	4	16	A	A	Ib	2c# 1e 1a
9	2.5	34.5	0.5	1	11	9	14	12	17	8	13	A	A	(Ib)	1c# 1d 1e 1a
9	3	35	0.5	1	11	16	7	12	17	8	13	E	A	V	2e 1a 1b
9	3.5	35.5	0.5	1	14	12	10	8	20	4	16	E	A	(V)	2e 2a
9	4	36	0.5	1	7	19	3	15	13	11	16	E	A	V	2e 1g# 1b
9	4.5	36.5	0.5	1	10	15	6	18	9	14	12	E	A	(V)	1d 1e 1g# 1b
10	1	37	3	6	13	11	16	7	19	3	15	A	A	I;	1c# 1e 2a
