#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	2	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
1	1	1	0.5	1	13	11	16	7	19	3	15	A	D	V	1c# 1e 2a
1	1.5	1.5	0.5	1	9	14	12	10	15	6	18	A	D	(V)	1c# 1e 1g# 1a
1	2	2	0.5	1	18	9	14	12	10	15	6	B	D	vi7d	1d 1f# 1a 1b
1	2.5	2.5	0.5	1	14	12	10	15	6	18	9	B	D	(vi7d)	1d 1f# 1g# 1b
1	3	3	0.5	1	7	12	17	8	20	4	16	A	D	V	2c# 1e 1a
1	3.5	3.5	0.5	1	3	15	13	11	16	7	19	A	D	(V)	2c# 1e 1g
1	4	4	0.5	1	20	4	16	7	12	17	8	D	D	Ib	1d 2f# 1a
1	4.5	4.5	0.5	1	12	10	15	6	18	9	14	D	D	(Ib)	1c# 1e 1f# 1a
2	1	5	0.5	1	12	17	8	20	4	16	7	G	D	IV	1d 1g 2b
2	1.5	5.5	0.5	1	18	9	14	12	10	15	6	G	D	(IV)	1d 1f# 1a 1b
2	2	6	1	2	4	16	7	12	17	8	20	C#	D	viib	1c# 2e 1g
2	3	7	1	2	19	3	15	13	11	16	7	D	D	I;	2d 1f# 1a
2	4	8	0.5	1	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
2	4.5	8.5	0.5	1	13	11	9	14	12	10	15	D	D	(I)	1d 1e 1g 1a
3	1	9	0.5	1	19	3	15	13	11	16	7	D	D	Ib	2d 1f# 1a
3	1.5	9.5	0.5	1	15	6	11	16	7	19	10	D	D	(Ib)	2d 1f# 1g
3	2	10	0.5	1	20	4	16	7	12	17	8	D	D	Ib	1d 2f# 1a
3	2.5	10.5	0.5	1	17	8	13	11	9	14	12	D	D	(Ib)	1d 1f# 1g 1a
3	3	11	1	2	13	11	16	7	19	3	15	A	D	V	1c# 1e 2a
3	4	12	0.5	1	15	6	18	9	14	12	10	D	D	V7c/IV	1c 1d 1f# 1a
3	4.5	12.5	0.5	1	11	16	7	19	3	15	13	G	D	IV	1d 2g 1b
4	1	13	0.5	1	21	5	17	8	13	11	9	D	D	Ib	1d 1f# 2a
4	1.5	13.5	0.5	1	17	8	13	11	16	7	12	D	D	(Ib)	1d 1e 2a
4	2	14	0.5	1	13	11	9	14	12	10	15	A	D	V7b	1d 1e 1g 1a
4	2.5	14.5	0.5	1	9	14	12	10	15	6	18	A	D	(V7b)	1c# 1e 1g 1a
4	3	15	1	2	19	3	15	13	11	16	7	D	D	I;	2d 1f# 1a
4	4	16	0.5	1	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
4	4.5	16.5	0.5	1	16	7	12	10	15	13	11	D	D	(I)	1d 1e 1f# 1a
5	1	17	1	2	18	9	14	12	10	15	6	B	D	V7b/ii	1d# 1f# 1a 1b
5	2	18	0.5	1	7	19	3	15	13	11	16	E	D	II	2e 1g# 1b
5	2.5	18.5	0.5	1	10	15	6	18	9	14	12	E	D	(II)	1d 1e 1g# 1b
5	3	19	0.5	1	13	11	16	7	19	3	15	A	D	Vb	1c# 1e 2a
5	3.5	19.5	0.5	1	12	17	8	20	4	16	7	G#	D	viib/V	1d 1g# 2b
5	4	20	0.5	1	12	10	22	6	18	2	14	A	D	V	2c# 2a
5	4.5	20.5	0.5	1	15	13	18	9	14	5	10	A	D	(V)	1c# 2a 1b
6	1	21	0.5	1	21	5	17	8	13	11	9	D	D	Ib	1d 1f# 2a
6	1.5	21.5	0.5	1	7	12	17	8	20	4	16	A	D	Vb	2c# 1e 1a
6	2	22	0.5	1	18	9	14	12	10	15	6	C#	D	vii7b	1d 1f# 1a 1b
6	2.5	22.5	0.5	1	7	19	3	15	13	11	16	E	D	V/V	2e 1g# 1b
6	3	23	1	2	13	11	16	7	19	3	15	A	D	V;	1c# 1e 2a
6	4	24	0.5	1	16	7	12	17	8	20	4	B	D	vi	2d 1f# 1b
6	4.5	24.5	0.5	1	9	14	5	17	15	13	11	E	D	V7/V	1d 2e 1b
7	1	25	0.5	1	10	15	13	11	16	7	12	A	D	V	1c# 1e 1a 1b
7	1.5	25.5	0.5	1	17	8	20	4	16	7	12	F#	D	iiib	1c# 1f# 2a
7	2	26	0.5	1	18	9	14	12	10	15	6	B	D	vi7b	1d 1f# 1a 1b
7	2.5	26.5	0.5	1	8	20	4	16	7	12	17	E	D	iib	1e 2g 1b
7	3	27	0.5	1	14	12	17	8	13	4	16	A	D	V7d	1c# 1g 2a
7	3.5	27.5	0.5	1	21	5	17	8	13	11	9	D	D	Ib	1d 1f# 2a
7	4	28	0.5	1	10	22	6	18	2	14	12	G	D	IV	2g 2b
7	4.5	28.5	0.5	1	17	8	20	4	16	7	12	F#	D	iii	1c# 1f# 2a
8	1	29	0.5	1	13	11	9	21	5	17	8	G	D	IVb	2d 1g 1b
8	1.5	29.5	0.5	1	15	6	11	16	7	19	10	G	D	(IVb)	2d 1f# 1g
8	2	30	0.5	1	17	8	13	11	16	7	12	A	D	V	1d 1e 2a
8	2.5	30.5	0.5	1	9	14	12	10	15	6	18	A	D	V7	1c# 1e 1g 1a
8	3	31	1	2	19	3	15	13	11	16	7	D	D	I;	2d 1f# 1a
