#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
1	1	0	1	2	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
1	2	1	1	2	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
1	3	2	1	2	16	7	19	3	15	13	11	F	B-	Vb	1c 2f 1a
2	1	3	1.5	3	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
2	2.5	4.5	0.5	1	11	9	21	5	17	8	13	F	B-	Vb	2c 1f 1a
2	3	5	0.5	1	11	16	7	19	3	15	13	G	B-	vi	1d 2g 1b-
2	3.5	5.5	0.5	1	8	20	4	16	7	12	17	G	B-	(vi)	1e 2g 1b-
3	1	6	1	2	16	7	19	3	15	13	11	F	B-	V	1c 2f 1a
3	2	7	0.5	1	8	13	18	9	14	12	10	F	B-	Vc	2c 1f 1b-
3	2.5	7.5	0.5	1	11	9	21	5	17	8	13	F	B-	(Vc)	2c 1f 1a
3	3	8	0.5	1	9	14	12	10	15	6	18	F	B-	V7d	1c 1e- 1g 1a
3	3.5	8.5	0.5	1	12	10	15	6	18	9	14	F	B-	(V7d)	1c 1e- 1f 1a
4	1	9	1	2	15	13	11	16	7	19	3	B-	B-	Ib	1d 1f 2b-
4	2	10	0.5	1	3	15	13	11	16	7	19	A	B-	viiob	2c 1e- 1g
4	2.5	10.5	0.5	1	7	12	17	8	20	4	16	A	B-	(viiob)	2c 1e- 1a
4	3	11	0.5	1	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
4	3.5	11.5	0.5	1	9	14	12	10	15	13	11	B-	B-	(I)	1c 1e- 1f 1b-
5	1	12	1	2	16	7	19	3	15	13	11	F	B-	V7	1c 2f 1a
5	2	13	1	2	12	10	15	6	18	9	14	F	B-	(V7)	1c 1e- 1f 1a
5	3	14	1	2	15	13	11	16	7	19	3	B-	B-	I;	1d 1f 2b-
6	1	15	1	2	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
6	2	16	0.5	1	8	13	11	9	21	5	17	A	B-	viiob	1c 2e- 1a
6	2.5	16.5	0.5	1	11	9	14	12	17	8	13	A	B-	(viiob)	1c 1d 1e- 1a
6	3	17	0.5	1	14	5	17	8	13	18	9	B-	B-	Ib	1c 1d 2f
6	3.5	17.5	0.5	1	17	8	13	11	9	21	5	B-	B-	(Ib)	1d 2f 1b-
7	1	18	2	4	7	19	3	15	13	11	16	E-	B-	IV;	2e- 1g 1b-
8	1	21	1	2	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
8	2	22	0.5	1	12	17	8	13	11	9	14	E-	B-	IVb	1e- 1g 1a 1b-
8	2.5	22.5	0.5	1	8	20	4	16	7	12	17	E-	B-	(IVb)	1e- 2g 1b-
8	3	23	0.5	1	16	7	19	3	15	13	11	F	B-	V	1c 2f 1a
8	3.5	23.5	0.5	1	8	13	11	9	14	12	17	F	B-	(V)	1c 1e- 1f 1g
9	1	24	1	2	14	5	17	8	13	18	9	D	B-	iii7	1c 1d 2f
9	2	25	0.5	1	12	17	8	20	4	16	7	B-	B-	Ib	1d 1g 2b-
9	2.5	25.5	0.5	1	15	13	11	16	7	19	3	B-	B-	(Ib)	1d 1f 2b-
9	3	26	0.5	1	7	19	3	15	13	11	16	E-	B-	IV	2e- 1g 1b-
9	3.5	26.5	0.5	1	10	15	6	18	9	14	12	E-	B-	(IV)	1d 1e- 1g 1b-
10	1	27	2	4	16	7	19	3	15	13	11	F	B-	V;	1c 2f 1a
11	1	30	1	2	17	8	13	11	9	21	5	B-	B-	Ib	1d 2f 1b-
11	2	31	0.5	1	9	14	12	10	15	6	18	C	B-	Vb/V	1c 1e 1g 1a
11	2.5	31.5	0.5	1	5	17	8	13	11	9	21	C	B-	(Vb/V)	1c 1e 2g
11	3	32	1	2	12	10	15	6	18	9	14	F#	B-	viioD7/VI	1c 1e- 1f# 1a
12	1	33	1	2	12	17	8	20	4	16	7	G	B-	vi	1d 1g 2b-
12	2	34	1	2	11	9	21	5	17	8	13	F	B-	Vb	2c 1f 1a
12	3	35	0.5	1	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
12	3.5	35.5	0.5	1	12	17	8	13	11	16	7	B-	B-	(I)	1e- 1f 2b-
13	1	36	1	2	13	11	16	7	12	17	8	B-	B-	Ic	1c 2f 1b-
13	2	37	0.5	1	16	7	19	3	15	13	11	F	B-	V7	1c 2f 1a
13	2.5	37.5	0.5	1	12	10	15	6	18	9	14	F	B-	(V7)	1c 1e- 1f 1a
13	3	38	1	2	15	13	11	16	7	19	3	B-	B-	I;	1d 1f 2b-
