#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	0.5	2	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
0	4.5	0.5	0.5	2	6	18	9	14	12	10	15	C	C	(I)	1c 1e 1g 1b
1	1	1	1	4	13	11	16	7	19	3	15	A	C	vi	1c 1e 2a
1	2	2	0.5	2	7	19	3	15	13	11	16	E	C	iii	2e 1g 1b
1	2.5	2.5	0.5	2	10	15	6	18	9	14	12	E	C	(iii)	1d 1e 1g 1b
1	3	3	0.5	2	13	11	16	7	12	10	15	F	C	IV	1c 1f 1g 1a
1	3.5	3.5	0.5	2	16	7	19	3	15	13	11	F	C	(IV)	1c 2f 1a
1	4	4	0.5	2	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
1	4.5	4.5	0.5	2	11	9	14	12	10	15	13	C	C	(I)	1c 1d 1f 1g
2	1	5	1	4	3	15	13	11	16	7	19	C	C	Ib	2c 1e 1g
2	2	6	0.5	2	15	6	18	9	14	12	10	D	C	ii7b	1c 1d 1f 1a
2	2.5	6.5	0.5	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
2	3	7	1	4	3	15	13	11	16	7	19	C	C	I;	2c 1e 1g
2	4	8	0.5	2	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
2	4.5	8.5	0.5	2	7	12	10	15	13	11	16	C	C	(I)	1c 1d 1e 1g
3	1	9	0.5	2	4	16	7	12	17	8	20	C	C	I	1c 2e 1g
3	1.5	9.5	0.5	2	15	6	18	9	14	12	10	D	C	ii7d	1c 1d 1f 1a
3	2	10	0.5	2	7	19	3	15	13	11	16	E	C	Vb/vi	2e 1g# 1b
3	2.5	10.5	0.5	2	10	15	6	18	9	14	12	E	C	(Vb/vi)	1d 1e 1g# 1b
3	3	11	0.5	2	13	11	16	7	19	3	15	A	C	vi	1c 1e 2a
3	3.5	11.5	0.5	2	9	14	12	10	15	6	18	A	C	(vi)	1c 1e 1g 1a
3	4	12	0.5	2	15	6	18	9	14	12	10	D	C	ii7b	1c 1d 1f 1a
3	4.5	12.5	0.5	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
4	1	13	0.5	2	3	15	13	11	16	7	19	C	C	Ib	2c 1e 1g
4	1.5	13.5	0.5	2	15	6	18	9	14	12	10	D	C	ii7b	1c 1d 1f 1a
4	2	14	0.5	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
4	2.5	14.5	0.5	2	14	12	10	15	6	18	9	G	C	(V)	1d 1f 1g 1b
4	3	15	1	4	3	15	13	11	16	7	19	C	C	I;	2c 1e 1g
4	4	16	1	4	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
5	1	17	0.5	2	16	7	19	3	15	13	11	F	C	IV	1c 2f 1a
5	1.5	17.5	0.5	2	20	4	16	7	12	17	8	F	C	(IV)	1d 2f 1a
5	2	18	0.5	2	4	16	7	12	17	8	20	C	C	Ib	1c 2e 1g
5	2.5	18.5	0.5	2	12	10	15	6	18	9	14	C	C	(Ib)	1c 1e 1f 1a
5	3	19	0.5	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
5	3.5	19.5	0.5	2	14	12	10	15	6	18	9	G	C	(V)	1d 1f 1g 1b
5	4	20	1	4	7	19	3	15	13	11	16	E	C	Vb/vi	2e 1g# 1b
6	1	21	0.5	2	10	15	13	11	16	7	12	A	C	vi	1c 1e 1a 1b
6	1.5	21.5	0.5	2	13	11	16	7	19	3	15	A	C	(vi)	1c 1e 2a
6	2	22	0.5	2	11	16	7	12	17	8	13	E	C	V/vi	2e 1a 1b
6	2.5	22.5	0.5	2	7	19	3	15	13	11	16	E	C	(V/vi)	2e 1g# 1b
6	3	23	1	4	13	11	16	7	19	3	15	A	C	vi;	1c 1e 2a
6	4	24	0.5	2	13	11	16	7	19	3	15	A	C	vi	1c 1e 2a
6	4.5	24.5	0.5	2	12	17	8	13	11	9	14	A	C	(vi)	1e 1g 1a 1b
