#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	0.5	2	19	3	15	13	11	16	7	D	G	Vb	2d 1f# 1a
0	4.5	0.5	0.5	2	15	6	18	9	14	12	10	D	G	(Vb)	1c 1d 1f# 1a
1	1	1	1	4	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
1	2	2	0.5	2	16	7	12	17	8	13	11	D	G	V	2d 1g 1a
1	2.5	2.5	0.5	2	19	3	15	13	11	16	7	D	G	(V)	2d 1f# 1a
1	3	3	0.5	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
1	3.5	3.5	0.5	2	8	20	4	16	7	12	17	G	G	(I)	1e 2g 1b
1	4	4	0.5	2	17	8	20	4	16	7	12	F	G	-VIIb	1c 1f 2a
1	4.5	4.5	0.5	2	18	9	14	12	10	15	6	B	G	iiio7	1d 1f 1a 1b
2	1	5	0.5	2	4	16	7	12	17	8	20	C	G	IV	1c 2e 1g
2	1.5	5.5	0.25	1	2	14	12	10	22	6	18	C	G	(IV)	2c 2e
2	1.75	5.75	0.25	1	6	11	16	7	19	10	15	C	G	(IV)	2c 1e 1f
2	2	6	0.5	2	8	13	11	16	7	12	17	G	G	I	1c 1d 2g
2	2.5	6.5	0.5	2	11	16	7	19	3	15	13	G	G	(I)	1d 2g 1b
2	3	7	1	4	3	15	13	11	16	7	19	C	G	IV;	2c 1e 1g
2	4	8	1	4	19	3	15	13	11	16	7	D	G	Vb	2d 1f# 1a
3	1	9	0.5	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
3	1.5	9.5	0.5	2	10	15	13	11	9	7	19	G	G	(I)	1c 2g 1a
3	2	10	0.5	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
3	2.5	10.5	0.5	2	21	5	17	8	13	11	9	D	G	Vb	1d 1f# 2a
3	3	11	0.5	2	8	20	4	16	7	12	17	E	G	vi	1e 2g 1b
3	3.5	11.5	0.5	2	15	13	11	9	7	19	10	E	G	(vi)	2f# 1g 1b
3	4	12	0.5	2	9	14	12	10	15	6	18	A	G	V/V	1c# 1e 1g 1a
3	4.5	12.5	0.5	2	13	11	16	7	19	3	15	A	G	(V/V)	1c# 1e 2a
4	1	13	0.5	2	21	5	17	8	13	11	9	D	G	Vb	1d 1f# 2a
4	1.5	13.5	0.5	2	17	1	13	18	9	21	5	D	G	V	3d 1f#
4	2	14	0.5	2	13	11	9	14	12	10	15	A	G	V7/V	1d 1e 1g 1a
4	2.5	14.5	0.5	2	9	14	12	10	15	6	18	A	G	(V7/V)	1c# 1e 1g 1a
4	3	15	1	4	17	1	13	18	9	21	5	D	G	V;	3d 1f#
4	4	16	0.5	2	13	11	9	21	5	17	8	G	G	I	2d 1g 1b
4	4.5	16.5	0.5	2	17	8	13	18	9	14	5	G	G	(I)	2d 1a 1b
5	1	17	0.5	2	12	17	8	20	4	16	7	G	G	Ib	1d 1g 2b
5	1.5	17.5	0.5	2	6	18	9	14	12	10	15	G	G	(Ib)	1c# 1e 1g 1b
5	2	18	0.5	2	20	4	16	7	12	17	8	D	G	V	1d 2f# 1a
5	2.5	18.5	0.5	2	14	12	10	15	6	18	9	D	G	(V)	1d 1f# 1g 1b
5	3	19	0.5	2	13	11	16	7	19	3	15	A	G	V/V	1c# 1e 2a
5	3.5	19.5	0.5	2	9	14	12	10	15	6	18	A	G	(V/V)	1c# 1e 1g 1a
5	4	20	0.5	2	16	7	19	3	15	13	11	F#	G	Vb/iii	1c# 2f# 1a#
5	4.5	20.5	0.5	2	12	10	15	6	18	9	14	F#	G	(Vb/iii)	1c# 1e 1f# 1a#
6	1	21	0.5	2	13	11	9	21	5	17	8	G	G	Ib	2d 1g 1b
6	1.5	21.5	0.5	2	15	6	11	16	7	19	10	G	G	(Ib)	2d 1f# 1g
6	2	22	0.5	2	13	11	16	7	19	3	15	A	G	V/V	1c# 1e 2a
6	2.5	22.5	0.5	2	9	14	12	10	15	6	18	A	G	(V/V)	1c# 1e 1g 1a
6	3	23	1	4	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
6	4	24	0.5	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
6	4.5	24.5	0.5	2	14	12	10	15	6	18	9	G	G	(I)	1d 1f# 1g 1b
7	1	25	0.5	2	8	20	4	16	7	12	17	E	G	vi	1e 2g 1b
7	1.5	25.5	0.5	2	8	13	11	16	7	12	17	E	G	(vi)	1c 1d 2g
7	2	26	0.5	2	10	8	13	18	9	14	12	G	G	Ib	1c 2d 1g
7	2.5	26.5	0.5	2	13	11	9	21	5	17	8	G	G	(Ib)	2d 1g 1b
7	3	27	0.5	2	3	15	13	11	16	7	19	C	G	IV	2c 1e 1g
7	3.5	27.5	0.5	2	7	12	10	15	13	11	16	C	G	(IV)	1c 1d 1e 1g
7	4	28	0.5	2	8	20	4	16	7	12	17	E	G	vi	1e 2g 1b
7	4.5	28.5	0.5	2	4	16	7	12	17	8	20	E	G	(vi)	1c 2e 1g
8	1	29	0.5	2	19	3	15	13	11	16	7	D	G	Vb	2d 1f# 1a
8	1.5	29.5	0.5	2	12	17	8	20	4	16	7	G#	G	vii/ii	1d 1g# 2b
8	2	30	0.5	2	7	12	17	8	20	4	16	A	G	ii	2c 1e 1a
8	2.5	30.5	0.25	1	13	11	16	7	19	3	15	A	G	(ii)	1c 1e 2a
8	2.75	30.75	0.25	1	16	7	19	10	15	6	11	A	G	(ii)	1c 1d# 2a
8	3	31	1	4	7	19	3	15	13	11	16	E	G	VI;	2e 1g# 1b
8	4	32	1	4	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
9	1	33	0.5	2	21	5	17	8	13	11	9	D	G	Vb	1d 1f# 2a
9	1.5	33.5	0.5	2	18	9	14	12	10	15	6	D	G	(Vb)	1d 1f# 1a 1b
9	2	34	0.5	2	4	16	7	12	17	8	20	C	G	IVb	1c 2e 1g
9	2.5	34.5	0.5	2	12	10	15	6	18	9	14	F#	G	vii7	1c 1e 1f# 1a
9	3	35	0.5	2	12	17	8	20	4	16	7	G	G	I	1d 1g 2b
9	3.5	35.5	0.5	2	11	16	7	19	3	15	13	G	G	(I)	1d 2g 1b
9	4	36	0.5	2	7	12	17	8	20	4	16	A	G	iib	2c 1e 1a
9	4.5	36.5	0.5	2	10	15	13	11	16	7	12	A	G	(iib)	1c 1e 1a 1b
10	1	37	1	4	8	13	11	9	21	5	17	A	G	Vb/V	1c# 2e 1a
10	2	38	1	4	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
10	3	39	1	4	11	16	7	19	3	15	13	G	G	I;	1d 2g 1b
