#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
1	1	0	1	4	19	3	15	13	11	16	7	D	d	i	2d 1f 1a
1	2	1	0.5	2	10	8	13	18	9	14	12	G	d	ivb	1c 2d 1g
1	2.5	1.5	0.5	2	13	11	9	21	5	17	8	G	d	(ivb)	2d 1g 1b-
1	3	2	1	4	9	14	12	10	15	6	18	A	d	v7	1c 1e 1g 1a
1	4	3	0.5	2	16	7	12	17	8	20	4	D	d	i	2d 1f 1b-
1	4.5	3.5	0.5	2	19	3	15	13	11	16	7	D	d	(i)	2d 1f 1a
2	1	4	0.5	2	14	12	10	15	6	18	9	G	d	iv7	1d 1f 1g 1b-
2	1.5	4.5	0.5	2	9	21	5	17	8	13	11	E	d	iiob	1e 1g 2b-
2	2	5	0.5	2	17	8	20	4	16	7	12	F	d	IIIb	1c 1f 2a
2	2.5	5.5	0.5	2	14	12	17	8	13	11	9	F	d	(IIIb)	1c 1f 1a 1b-
2	3	6	0.5	2	7	12	17	8	13	11	16	C	d	-VII	2c 1f 1g
2	3.5	6.5	0.5	2	3	15	13	11	16	7	19	C	d	(-VII)	2c 1e 1g
2	4	7	0.5	2	16	7	19	3	15	13	11	F	d	III	1c 2f 1a
2	4.5	7.5	0.5	2	13	11	16	7	12	17	8	F	d	(III)	1c 2f 1b-
3	1	8	0.5	2	14	12	10	15	6	18	9	G	d	V7b/-VII	1d 1f 1g 1b-
3	1.5	8.5	0.5	2	13	18	9	14	5	17	8	G	d	(V7b/-VII)	1f 1g 2b-
3	2	9	0.5	2	5	17	8	13	11	9	21	C	d	-VII	1c 1e 2g
3	2.5	9.5	0.5	2	3	15	13	11	16	7	19	C	d	(-VII)	2c 1e 1g
3	3	10	2	8	16	7	19	3	15	13	11	F	d	III;	1c 2f 1a
4	1	12	0.5	2	16	7	19	3	15	13	11	F	d	III	1c 2f 1a
4	1.5	12.5	0.5	2	17	8	13	11	9	21	5	F	d	(III)	1d 2f 1b-
4	2	13	0.5	2	4	16	7	12	17	8	20	C	d	-VII	1c 2e 1g
4	2.5	13.5	0.5	2	15	6	18	9	14	12	10	C	d	(-VII)	1c 1d 1f# 1a
4	3	14	0.5	2	11	16	7	19	3	15	13	G	d	IV	1d 2g 1b
4	3.5	14.5	0.5	2	14	12	10	15	6	18	9	G	d	(IV)	1d 1f 1g 1b
4	4	15	0.5	2	7	19	3	15	13	11	16	C#	d	viiob	2e 1g 1b
4	4.5	15.5	0.5	2	4	16	7	12	17	8	20	C#	d	(viiob)	1c# 2e 1g
5	1	16	0.5	2	19	3	15	13	11	16	7	D	d	Ib	2d 1f# 1a
5	1.5	16.5	0.5	2	12	17	8	20	4	16	7	G#	d	viio/V	1d 1g# 2b
5	2	17	0.5	2	13	11	16	7	19	3	15	A	d	v	1c 1e 2a
5	2.5	17.5	0.5	2	17	8	13	11	16	7	12	A	d	(v)	1d 1e 2a
5	3	18	1	4	8	13	11	9	21	5	17	A	d	vb	1c 2e 1a
5	4	19	0.5	2	19	3	15	13	11	16	7	D	d	i	2d 1f 1a
5	4.5	19.5	0.5	2	15	6	18	9	14	12	10	D	d	(i)	1c 1d 1f 1a
6	1	20	0.5	2	13	18	9	14	12	10	8	E	d	V7/V	1e 1a 2b
6	1.5	20.5	0.5	2	11	16	7	12	17	8	13	E	d	(V7/V)	2e 1a 1b
6	2	21	0.5	2	7	19	3	15	13	11	16	E	d	(V7/V)	2e 1g# 1b
6	2.5	21.5	0.5	2	10	15	6	18	9	14	12	E	d	(V7/V)	1d 1e 1g# 1b
6	3	22	2	8	13	11	16	7	19	3	15	A	d	V;	1c# 1e 2a
7	2	25	1	4	13	11	16	7	19	3	15	A	d	V	1c# 1e 2a
7	3	26	1	4	13	11	9	21	5	17	8	G	d	IVb	2d 1g 1b
7	4	27	1	4	8	13	11	9	21	5	17	A	d	Vb	1c# 2e 1a
8	1	28	1	4	16	7	12	10	15	13	11	D	d	i	1d 1e 1f 1a
8	2	29	1	4	19	3	15	13	11	16	7	D	d	(i)	2d 1f 1a
8	3	30	2	8	13	11	16	7	19	3	15	A	d	V;	1c# 1e 2a
9	1	32	1	4	19	3	15	13	11	16	7	D	d	ib	2d 1f 1a
9	2	33	1	4	13	11	16	7	19	3	15	A	d	Vb	1c# 1e 2a
9	3	34	0.5	2	19	3	15	13	11	16	7	D	d	i	2d 1f 1a
9	3.5	34.5	0.5	2	16	7	12	17	8	20	4	D	d	(i)	2d 1f 1b-
9	4	35	0.5	2	9	14	12	10	15	6	18	C	d	-VIIb	1c 1e 1g 1a
9	4.5	35.5	0.5	2	5	17	8	13	11	9	21	C	d	(-VIIb)	1c 1e 2g
10	1	36	0.5	2	16	7	19	3	15	13	11	F	d	III	1c 2f 1a
10	1.5	36.5	0.5	2	17	8	20	4	16	7	12	F	d	(III)	1c 1f 2a
10	2	37	0.5	2	11	16	7	12	10	15	13	B	d	viiob/-VII	1e 1f 1g 1b
10	2.5	37.5	0.5	2	17	8	13	11	9	21	5	B	d	(viiob/-VII)	1d 2f 1b
10	3	38	1	4	4	16	7	12	17	8	20	C#	d	viiob	1c# 2e 1g
10	4	39	0.5	2	19	3	15	13	11	16	7	D	d	ib	2d 1f 1a
10	4.5	39.5	0.5	2	10	15	6	18	9	14	12	D	d	(ib)	1d 1e 1g 1b-
11	1	40	0.5	2	21	5	17	8	13	11	9	D	d	ic	1d 1f 2a
11	1.5	40.5	0.25	1	17	8	13	11	16	7	12	D	d	(ic)	1d 1e 2a
11	1.75	40.75	0.25	1	20	4	16	14	12	10	8	D	d	(ic)	2d 2a
11	2	41	1	4	13	11	16	7	19	3	15	A	d	V	1c# 1e 2a
11	3	42	2	8	19	3	15	13	11	16	7	D	d	I;	2d 1f# 1a
