#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	4	11	16	7	19	3	15	13	G	g	i	1d 2g 1b-
1	1	1	0.5	2	11	16	7	19	3	15	13	G	g	i	1d 2g 1b-
1	1.5	1.5	0.5	2	17	8	13	11	9	14	12	G	g	(i)	1d 1f 1g 1a
1	2	2	0.5	2	9	14	5	17	8	13	18	C#	g	vii/V	1d 1e- 2g
1	2.5	2.5	0.5	2	5	17	8	13	11	9	21	C#	g	(vii/V)	1c# 1e- 2g
1	3	3	0.5	2	19	3	15	13	11	16	7	D	g	V	2d 1f# 1a
1	3.5	3.5	0.5	2	15	6	18	9	14	12	10	D	g	(V)	1c 1d 1f# 1a
1	4	4	0.5	2	12	17	8	20	4	16	7	G	g	ib	1d 1g 2b-
1	4.5	4.5	0.5	2	14	12	10	15	6	18	9	G	g	(ib)	1d 1f 1g 1b-
2	1	5	0.5	2	7	12	17	8	20	4	16	A	g	iib	2c 1e- 1a
2	1.5	5.5	0.5	2	10	8	20	11	16	7	12	A	g	(iib)	2c 1d 1a
2	2	6	0.5	2	6	18	9	14	12	10	15	C#	g	viioD7/V	1c# 1e 1g 1b-
2	2.5	6.5	0.5	2	9	14	12	10	15	6	18	C#	g	(viioD7/V)	1c# 1e 1g 1a
2	3	7	1	4	19	3	15	13	11	16	7	D	g	V;	2d 1f# 1a
2	4	8	0.5	2	19	3	15	13	11	16	7	D	g	V	2d 1f# 1a
2	4.5	8.5	0.5	2	16	7	12	10	15	13	11	D	g	(V)	1d 1e- 1f# 1a
3	1	9	0.5	2	12	10	15	6	18	9	14	D	g	V7	1c 1e- 1f# 1a
3	1.5	9.5	0.5	2	15	6	18	9	14	12	10	D	g	(V7)	1c 1d 1f# 1a
3	2	10	0.5	2	19	3	15	13	11	16	7	D	g	V	2d 1f# 1a
3	2.5	10.5	0.5	2	15	6	18	9	14	12	10	D	g	(V)	1c 1d 1f# 1a
3	3	11	0.5	2	8	13	11	16	7	12	17	G	g	Ib	1c 1d 2g
3	3.5	11.5	0.5	2	11	16	7	19	3	15	13	G	g	(Ib)	1d 2g 1b
3	4	12	0.5	2	3	15	13	11	16	7	19	C	g	IV	2c 1e 1g
3	4.5	12.5	0.5	2	6	18	9	14	12	10	15	C	g	(IV)	1c 1e 1g 1b-
4	1	13	0.5	2	17	8	20	4	16	7	12	F#	g	viioD7b	1c 1f# 2a
4	1.5	13.5	0.5	2	12	10	15	6	18	9	14	F#	g	(viioD7b)	1c 1e- 1f# 1a
4	2	14	0.5	2	13	4	16	14	12	17	8	D	g	V7	1c 2d 1f#
4	2.5	14.5	0.25	1	16	7	12	17	8	20	4	D	g	(V7)	2d 1f# 1b-
4	2.75	14.75	0.25	1	19	3	15	13	11	16	7	D	g	(V7)	2d 1f# 1a
4	3	15	1	4	11	16	7	19	3	15	13	G	g	I;	1d 2g 1b-
4	4	16	1	4	16	7	19	3	15	13	11	F	g	-VII	1c 2f 1a
5	1	17	0.5	2	16	7	19	3	15	13	11	F	g	-VII	1c 2f 1a
5	1.5	17.5	0.5	2	13	11	16	7	12	10	15	F	g	(-VII)	1c 1f 1g 1a
5	2	18	0.5	2	7	12	17	8	13	11	16	C	g	IVb	2c 1f 1g
5	2.5	18.5	0.5	2	3	15	13	11	16	7	19	C	g	(IVb)	2c 1e 1g
5	3	19	0.5	2	16	7	19	3	15	13	11	F	g	-VII	1c 2f 1a
5	3.5	19.5	0.5	2	12	10	15	6	18	9	14	F	g	(-VII)	1c 1e- 1f 1a
5	4	20	0.5	2	14	12	10	8	13	18	9	B-	g	IIIb	1e- 2f 1b-
5	4.5	20.5	0.5	2	17	8	13	11	9	21	5	B-	g	(IIIb)	1d 2f 1b-
6	1	21	0.5	2	7	19	3	15	13	11	16	E-	g	VI	2e- 1g 1b-
6	1.5	21.5	0.5	2	10	15	6	18	9	14	12	E-	g	(VI)	1d 1e 1g 1b-
6	2	22	0.5	2	17	8	20	4	16	7	12	F	g	-VII	1c 1f 2a
6	2.5	22.5	0.5	2	12	10	15	6	18	9	14	F#	g	viioD7	1c 1e- 1f# 1a
6	3	23	1	4	12	17	8	20	4	16	7	G	g	i;	1d 1g 2b-
6	4	24	1	4	11	16	7	19	3	15	13	G	g	i	1d 2g 1b-
7	1	25	0.5	2	16	7	12	17	8	13	11	D	g	V	2d 1g 1a
7	1.5	25.5	0.5	2	19	3	15	13	11	16	7	D	g	(V)	2d 1f# 1a
7	2	26	0.5	2	9	14	5	17	8	13	18	C	g	ivb	1d 1e- 2g
7	2.5	26.5	0.5	2	5	17	8	13	11	9	21	C	g	(ivb)	1c 1e- 2g
7	3	27	1	4	19	3	15	13	11	16	7	D	g	V;	2d 1f# 1a
7	4	28	1	4	19	3	15	13	11	16	7	D	g	V	2d 1f# 1a
8	1	29	0.5	2	17	8	20	4	16	7	12	F#	g	viib	1c 1f# 2a
8	1.5	29.5	0.5	2	18	9	14	12	10	15	6	F#	g	(viib)	1d 1f# 1a 1b-
8	2	30	0.5	2	12	10	15	6	18	9	14	F#	g	viioD7c	1c 1e- 1f# 1a
8	2.5	30.5	0.5	2	15	6	18	9	14	12	10	F#	g	(viioD7c)	1c 1d 1f# 1a
8	3	31	0.5	2	11	16	7	19	3	15	13	G	g	ib	1d 2g 1b-
8	3.5	31.5	0.5	2	11	16	7	19	3	15	13	G	g	(ib)	1d 2g 1b
8	4	32	0.25	1	4	16	7	12	17	8	20	C	g	IV	1c 2e 1g
8	4.25	32.25	0.25	1	8	13	11	9	21	5	17	C	g	(IV)	1c 2e 1a
8	4.5	32.5	0.5	2	5	17	8	13	18	9	14	C#	g	viioD7/V	1c# 2e 1b-
9	1	33	0.5	2	19	3	15	13	11	16	7	D	g	V	2d 1f# 1a
9	1.5	33.5	0.5	2	15	6	11	16	7	19	10	D	g	(V)	2d 1f# 1g
9	2	34	0.25	1	19	3	15	13	11	16	7	D	g	V	2d 1f# 1a
9	2.25	34.25	0.25	1	16	7	12	17	8	20	4	D	g	(V)	2d 1f# 1b-
9	2.5	34.5	0.5	2	13	4	16	14	12	17	8	D	g	(V)	1c 2d 1f#
9	3	35	0.5	2	8	13	11	16	7	12	17	G	g	I;	1c 1d 2g
9	3.5	35.5	0.5	2	11	16	7	19	3	15	13	G	g	(I;)	1d 2g 1b
