#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
1	1	1	1	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
1	2	2	1	2	9	21	5	17	8	13	11	E	a	Vb	1e 1g# 2b
1	3	3	1	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
1	4	4	1	2	19	3	15	13	11	16	7	D	a	Vb/-VII	2d 1f# 1a
2	1	5	0.5	1	11	16	7	19	3	15	13	G	a	I/-VII	1d 2g 1b
2	1.5	5.5	0.5	1	14	12	10	15	6	18	9	G	a	(I/-VII)	1d 1f# 1g 1b
2	2	6	0.5	1	9	21	5	17	1	13	18	G	a	(I/-VII)	3g 1b
2	2.5	6.5	0.5	1	13	11	16	7	12	10	15	F#	a	viiob/-VII	1c 1f# 1g 1a
2	3	7	1	2	11	16	7	19	3	15	13	G	a	I/-VII;	1d 2g 1b
2	4	8	1	2	7	19	3	15	13	11	16	E	a	Vb	2e 1g# 1b
3	1	9	0.5	1	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
3	1.5	9.5	0.5	1	6	18	9	14	12	10	15	A	a	(i)	1c 1e 1g 1b
3	2	10	0.5	1	17	8	20	4	16	7	12	F	a	VI	1c 1f 2a
3	2.5	10.5	0.5	1	13	11	16	7	19	3	15	F	a	(VI)	1c 1e 2a
3	3	11	1	2	18	9	14	12	10	15	6	B	a	ii7b	1d 1f 1a 1b
3	4	12	0.5	1	7	19	3	15	13	11	16	E	a	V	2e 1g# 1b
3	4.5	12.5	0.5	1	10	15	6	18	9	14	12	E	a	(V)	1d 1e 1g# 1b
4	1	13	3	6	13	11	16	7	19	3	15	A	a	i;	1c 1e 2a
4	4	16	1	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
5	1	17	0.5	1	17	8	13	18	9	14	5	G#	a	viiob	2d 1a 1b
5	1.5	17.5	0.5	1	13	11	9	21	5	17	8	G#	a	(viiob)	2d 1g# 1b
5	2	18	1	2	7	12	17	8	20	4	16	A	a	ib	2c 1e 1a
5	3	19	0.5	1	18	9	14	12	10	15	6	B	a	ii7b	1d 1f 1a 1b
5	3.5	19.5	0.5	1	7	19	3	15	13	11	16	E	a	V	2e 1g# 1b
5	4	20	0.5	1	18	9	14	5	17	8	13	D	a	ivb	1e 1f 2a
5	4.5	20.5	0.5	1	21	5	17	8	13	11	9	D	a	(ivb)	1d 1f 2a
6	1	21	3	6	7	19	3	15	13	11	16	E	a	V;	2e 1g# 1b
6	4	24	1	2	7	19	3	15	13	11	16	E	a	V	2e 1g# 1b
7	1	25	1	2	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
7	2	26	1	2	13	11	9	21	5	17	8	G	a	Vb/III	2d 1g 1b
7	3	27	0.5	1	3	15	13	11	16	7	19	C	a	III	2c 1e 1g
7	3.5	27.5	0.5	1	10	15	6	18	9	14	12	C	a	(III)	1d 1e 1g 1b
7	4	28	0.5	1	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
7	4.5	28.5	0.5	1	9	14	12	10	15	6	18	A	a	(i)	1c 1e 1g 1a
8	1	29	0.5	1	21	5	17	8	13	11	9	D	a	Vb/-VII	1d 1f# 2a
8	1.5	29.5	0.5	1	17	8	13	11	16	7	12	D	a	(Vb/-VII)	1d 1e 2a
8	2	30	0.5	1	14	5	10	22	6	18	9	D	a	V/-VII	3d 1g
8	2.5	30.5	0.5	1	13	4	16	14	12	17	8	D	a	(V/-VII)	1c 2d 1f#
8	3	31	1	2	11	16	7	19	3	15	13	G	a	I/-VII;	1d 2g 1b
8	4	32	1	2	14	12	10	15	6	18	9	G	a	V7d/III	1d 1f 1g 1b
9	1	33	1	2	5	17	8	13	11	9	21	C	a	IIIb	1c 1e 2g
9	2	34	0.5	1	19	3	15	13	11	16	7	D	a	iv	2d 1f 1a
9	2.5	34.5	0.5	1	16	7	12	17	8	20	4	D	a	(iv)	2d 1f 1b
9	3	35	0.5	1	2	14	12	10	22	6	18	C	a	III	2c 2e
9	3.5	35.5	0.5	1	6	11	9	14	19	10	15	C	a	(III)	1c 1d 2e
9	4	36	0.5	1	10	15	13	11	16	7	12	A	a	i	1c 1e 1a 1b
9	4.5	36.5	0.5	1	13	11	16	7	19	3	15	A	a	(i)	1c 1e 2a
10	1	37	0.5	1	17	8	13	18	9	14	5	G	a	Ib/-VII	2d 1a 1b
10	1.5	37.5	0.5	1	10	8	13	18	9	14	12	G	a	(Ib/-VII)	1c 2d 1g
10	2	38	0.5	1	19	3	15	13	11	16	7	D	a	V/-VII	2d 1f# 1a
10	2.5	38.5	0.5	1	11	9	14	12	17	8	13	D	a	(V/-VII)	1c 1d 1e 1a
10	3	39	1	2	12	17	8	20	4	16	7	G	a	I/-VII;	1d 1g 2b
10	4	40	1	2	7	19	3	15	13	11	16	E	a	Vb	2e 1g# 1b
11	1	41	0.5	1	13	11	16	7	19	3	15	A	a	i	1c 1e 2a
11	1.5	41.5	0.5	1	9	21	5	17	8	13	11	E	a	vb	1e 1g 2b
11	2	42	0.5	1	17	8	20	4	16	7	12	F	a	VI	1c 1f 2a
11	2.5	42.5	0.5	1	13	11	16	7	19	3	15	F	a	(VI)	1c 1e 2a
11	3	43	1	2	18	9	14	12	10	15	6	B	a	ii7b	1d 1f 1a 1b
11	4	44	0.5	1	7	19	3	15	13	11	16	E	a	V	2e 1g# 1b
