#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
1	1	0	0.5	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
1	1.5	0.5	0.5	2	15	13	11	16	7	12	10	G	G	(I)	1d 1g 1a 1b
1	2	1	0.5	2	15	13	11	16	7	12	10	G	G	I	1d 1g 1a 1b
1	2.5	1.5	0.5	2	11	16	7	19	3	15	13	G	G	(I)	1d 2g 1b
1	3	2	0.5	2	18	9	14	12	10	8	13	D	G	Vb	1d 1g 2a
1	3.5	2.5	0.5	2	21	5	17	8	13	11	9	D	G	(Vb)	1d 1f# 2a
1	4	3	0.5	2	16	7	12	10	15	13	11	D	G	V	1d 1e 1f# 1a
1	4.5	3.5	0.5	2	19	3	15	13	11	16	7	D	G	(V)	2d 1f# 1a
2	1	4	0.5	2	12	17	8	20	4	16	7	G	G	I	1d 1g 2b
2	1.5	4.5	0.5	2	13	11	16	14	12	10	8	G	G	(I)	1c 1d 1a 1b
2	2	5	0.5	2	13	11	9	21	5	17	8	G	G	Ib	2d 1g 1b
2	2.5	5.5	0.5	2	9	14	5	17	8	13	18	G	G	(Ib)	1d 1e 2g
2	3	6	2	8	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
3	1	8	0.5	2	7	19	3	15	13	11	16	E	G	vi	2e 1g 1b
3	1.5	8.5	0.5	2	7	19	3	15	13	11	16	E	G	(vi)	2e 1g 1b
3	2	9	0.5	2	11	16	7	12	10	15	13	G	G	V7c/IV	1e 1f 1g 1b
3	2.5	9.5	0.5	2	14	12	10	15	6	18	9	G	G	(V7c/IV)	1d 1f 1g 1b
3	3	10	0.5	2	3	15	13	11	16	7	19	C	G	IV	2c 1e 1g
3	3.5	10.5	0.5	2	3	15	13	11	16	7	19	C	G	(IV)	2c 1e 1g
3	4	11	0.5	2	8	13	11	16	7	12	17	G	G	Ib	1c 1d 2g
3	4.5	11.5	0.5	2	11	16	7	19	3	15	13	G	G	(Ib)	1d 2g 1b
4	1	12	0.5	2	13	11	16	7	19	3	15	A	G	ii	1c 1e 2a
4	1.5	12.5	0.5	2	17	8	20	4	16	7	12	A	G	(ii)	1c 1f# 2a
4	2	13	0.5	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
4	2.5	13.5	0.5	2	12	17	8	20	4	16	7	G	G	(I)	1d 1g 2b
4	3	14	0.5	2	9	14	12	10	15	6	18	A	G	ii7b	1c 1e 1g 1a
4	3.5	14.5	0.5	2	14	12	17	8	13	4	16	A	G	(ii7b)	1c 1g 2a
4	4	15	0.5	2	21	5	17	8	13	11	9	D	G	V	1d 1f# 2a
4	4.5	15.5	0.25	1	19	3	15	13	11	16	7	D	G	(V)	2d 1f# 1a
4	4.75	15.75	0.25	1	15	6	18	9	14	12	10	D	G	(V)	1c 1d 1f# 1a
5	1	16	4	16	11	16	7	19	3	15	13	G	G	I;	1d 2g 1b
6	1	20	0.5	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
6	1.5	20.5	0.5	2	11	16	7	19	3	15	13	G	G	(I)	1d 2g 1b
6	2	21	0.5	2	18	9	14	12	10	8	13	D	G	Vb	1d 1g 2a
6	2.5	21.5	0.5	2	21	5	17	8	13	11	9	D	G	(Vb)	1d 1f# 2a
6	3	22	0.5	2	7	19	3	15	13	11	16	C#	G	viiob/V	2e 1g 1b
6	3.5	22.5	0.5	2	4	16	7	12	17	8	20	C#	G	(viiob/V)	1c# 2e 1g
6	4	23	1	4	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
7	1	24	1	4	10	15	6	18	9	14	12	E	G	vi7d	1d 1e 1g 1b
7	2	25	0.5	2	13	11	16	7	19	3	15	A	G	Vb/V	1c# 1e 2a
7	2.5	25.5	0.5	2	9	14	12	10	15	6	18	A	G	(Vb/V)	1c# 1e 1g 1a
7	3	26	0.5	2	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
7	3.5	26.5	0.5	2	11	9	7	19	10	15	13	D	G	(V)	2d 1e 1g
7	4	27	1	4	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
8	1	28	0.5	2	11	16	7	19	3	15	13	G	G	Ib	1d 2g 1b
8	1.5	28.5	0.5	2	9	21	5	17	1	13	18	G	G	(Ib)	3g 1b
8	2	29	0.5	2	10	15	13	11	9	7	19	A	G	ii7	1c 2g 1a
8	2.5	29.5	0.5	2	14	12	10	15	6	18	9	G	G	V7b/IV	1d 1f 1g 1b
8	3	30	0.5	2	4	16	7	12	17	8	20	C	G	IV	1c 2e 1g
8	3.5	30.5	0.5	2	12	10	8	13	11	16	14	C	G	(IV)	1d 1e 1f# 1g
8	4	31	0.5	2	5	17	8	13	11	9	21	C	G	IV	1c 1e 2g
8	4.5	31.5	0.25	1	12	17	8	13	11	9	14	C	G	(IV)	1e 1g 1a 1b
8	4.75	31.75	0.25	1	9	21	5	17	8	13	11	C	G	(IV)	1e 1g 2b
9	1	32	0.5	2	13	11	16	7	19	3	15	A	G	ii	1c 1e 2a
9	1.5	32.5	0.5	2	17	8	20	4	16	7	12	A	G	(ii)	1c 1f# 2a
9	2	33	1	4	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
9	3	34	0.5	2	16	7	12	17	8	13	11	D	G	V	2d 1g 1a
9	3.5	34.5	0.5	2	15	6	11	16	14	12	10	D	G	(V)	2d 1e 1a
9	4	35	0.5	2	19	3	15	13	11	16	7	D	G	(V)	2d 1f# 1a
9	4.5	35.5	0.5	2	15	6	18	9	14	12	10	D	G	(V)	1c 1d 1f# 1a
10	1	36	4	16	11	16	7	19	3	15	13	G	G	I;	1d 2g 1b
