#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	0.5	2	8	13	11	9	21	5	17	A	a	i	1c 2e 1a
0	4.5	0.5	0.5	2	4	16	7	12	17	8	20	A	a	(i)	1c 2e 1g
1	1	1	0.25	1	12	10	15	6	18	9	14	F	a	VI	1c 1e 1f 1a
1	1.25	1.25	0.25	1	15	6	18	9	14	12	10	F	a	(VI)	1c 1d 1f 1a
1	1.5	1.5	0.25	1	19	10	15	6	11	16	7	F	a	(VI)	2f 1a 1b
1	1.75	1.75	0.25	1	22	6	18	2	14	12	10	F	a	(VI)	2f 2a
1	2	2	0.5	2	11	16	7	12	10	15	13	E	a	V	1e 1f 1g# 1b
1	2.5	2.5	0.25	1	6	18	2	14	19	10	15	E	a	(V)	3e 1b
1	2.75	2.75	0.25	1	9	14	5	17	15	13	11	E	a	(V)	1d 2e 1b
1	3	3	0.5	2	7	12	17	8	20	4	16	A	a	I	2c 1e 1a
1	3.5	3.5	0.5	2	13	11	16	7	19	3	15	A	a	(I)	1c 1e 2a
1	4	4	0.5	2	16	14	12	17	8	13	4	B	a	V/V	1d# 1a 2b
1	4.5	4.5	0.5	2	12	17	8	20	4	16	7	B	a	(V/V)	1d# 1g 2b
2	1	5	0.5	2	9	14	12	10	15	6	18	A	a	V7b/IV	1c# 1e 1g 1a
2	1.5	5.5	0.25	1	12	10	15	6	18	9	14	A	a	(V7b/IV)	1c# 1e 1f# 1a
2	1.75	5.75	0.25	1	8	13	11	9	21	5	17	A	a	(V7b/IV)	1c# 2e 1a
2	2	6	0.5	2	15	13	11	16	7	19	3	B	a	Vb/V	1d# 1f# 2b
2	2.5	6.5	0.5	2	15	13	11	16	7	19	3	B	a	(Vb/V)	1d# 1f# 2b
2	3	7	0.5	2	11	16	7	12	10	15	13	E	a	V7	1e 1f# 1g# 1b
2	3.5	7.5	0.5	2	7	19	3	15	13	11	16	E	a	(V7)	2e 1g# 1b
2	4	8	0.5	2	10	15	6	18	9	14	12	E	a	(V7)	1d 1e 1g# 1b
2	4.5	8.5	0.5	2	12	10	15	6	18	9	14	E	a	(V7)	1c 1e 1f# 1a
3	1	9	1	4	7	19	3	15	13	11	16	E	a	V;	2e 1g# 1b
3	2	10	0.5	2	4	16	7	12	17	8	20	C#	a	vii/IV	1c# 2e 1g
3	2.5	10.5	0.5	2	7	12	10	15	13	11	16	C#	a	(vii/IV)	1c# 1d 1e 1g
3	3	11	1	4	14	12	17	8	13	4	16	A	a	V7/IV	1c# 1g 2a
3	4	12	1	4	20	4	16	7	12	17	8	D	a	iv	1d 2f 1a
4	1	13	0.5	2	10	15	6	18	9	14	12	E	a	V7d	1d 1e 1g# 1b
4	1.5	13.5	0.5	2	7	12	17	8	20	4	16	A	a	ib	2c 1e 1a
