#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	4	3	15	13	11	16	7	19	C	F	Vb	2c 1e 1g
1	1	1	0.5	2	16	7	19	3	15	13	11	F	F	I	1c 2f 1a
1	1.5	1.5	0.5	2	9	14	12	10	15	6	18	F	F	(I)	1c 1e- 1g 1a
1	2	2	0.5	2	11	9	14	12	17	8	13	A	F	viiob/IV	1c 1d 1e- 1a
1	2.5	2.5	0.5	2	7	12	17	8	20	4	16	A	F	(viiob/IV)	2c 1e- 1a
1	3	3	0.5	2	15	13	11	16	7	19	3	B-	F	IV	1d 1f 2b-
1	3.5	3.5	0.5	2	18	9	14	12	10	15	6	B-	F	(IV)	1d 1f 1a 1b-
1	4	4	0.5	2	3	15	13	11	16	7	19	C	F	V	2c 1e 1g
1	4.5	4.5	0.5	2	7	12	17	8	20	4	16	C	F	(V)	2c 1e 1a
2	1	5	0.5	2	15	13	11	16	7	19	3	B-	F	IVb	1d 1f 2b-
2	1.5	5.5	0.5	2	18	9	14	12	10	15	6	B-	F	(IVb)	1d 1f 1a 1b-
2	2	6	1	4	6	18	9	14	12	10	15	C	F	V7b	1c 1e 1g 1b-
2	3	7	1	4	16	7	19	3	15	13	11	F	F	I;	1c 2f 1a
2	4	8	1	4	16	7	19	3	15	13	11	F	F	I	1c 2f 1a
3	1	9	0.5	2	6	18	9	14	12	10	15	C	F	V7d	1c 1e 1g 1b-
3	1.5	9.5	0.5	2	9	14	12	10	15	6	18	C	F	(V7d)	1c 1e 1g 1a
3	2	10	0.5	2	13	11	16	7	12	10	15	F	F	I	1c 1f 1g 1a
3	2.5	10.5	0.5	2	16	7	19	3	15	13	11	F	F	(I)	1c 2f 1a
3	3	11	0.5	2	7	12	17	8	13	11	16	C	F	V7	2c 1f 1g
3	3.5	11.5	0.25	1	10	15	13	11	9	14	12	C	F	(V7)	1c 1f 1g 1b-
3	3.75	11.75	0.25	1	13	11	16	7	12	10	15	C	F	(V7)	1c 1f 1g 1a
3	4	12	1	4	6	18	9	14	12	10	15	C	F	(V7)	1c 1e 1g 1b-
4	1	13	3	12	16	7	19	3	15	13	11	F	F	I;	1c 2f 1a
4	4	16	0.5	2	5	17	8	13	11	9	21	C	F	Vb	1c 1e 2g
4	4.5	16.5	0.5	2	12	10	8	20	4	16	14	C	F	(Vb)	2d 2g
5	1	17	0.5	2	3	15	13	11	16	7	19	C	F	V	2c 1e 1g
