#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
1	1	0	1	4	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
1	2	1	0.5	2	16	7	12	17	8	20	4	B	D	vi	2d 1f# 1b
1	2.5	1.5	0.5	2	13	11	9	21	5	17	8	B	D	(vi)	2d 1g 1b
1	3	2	1	4	21	5	17	8	13	11	9	D	D	Ib	1d 1f# 2a
1	4	3	0.5	2	11	16	7	19	3	15	13	G	D	IV	1d 2g 1b
1	4.5	3.5	0.5	2	14	12	10	15	6	18	9	G	D	(IV)	1d 1f# 1g 1b
2	1	4	0.5	2	17	8	13	11	16	7	12	A	D	V	1d 1e 2a
2	1.5	4.5	0.5	2	20	4	16	14	12	10	8	A	D	(V)	2d 2a
2	2	5	0.5	2	13	11	16	7	19	3	15	A	D	V	1c# 1e 2a
2	2.5	5.5	0.5	2	9	14	12	10	15	6	18	A	D	(V)	1c# 1e 1g 1a
2	3	6	1	4	17	1	13	18	9	21	5	D	D	I	3d 1f#
2	4	7	1	4	17	1	13	18	9	21	5	D	D	I;	3d 1f#
3	1	8	1	4	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
3	2	9	0.5	2	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
3	2.5	9.5	0.5	2	15	6	18	9	14	12	10	D	D	(I)	1c# 1d 1f# 1a
3	3	10	0.5	2	8	20	4	16	7	12	17	E	D	ii	1e 2g 1b
3	3.5	10.5	0.5	2	5	17	8	13	11	9	21	E	D	(ii)	1c# 1e 2g
3	4	11	1	4	20	4	16	7	12	17	8	D	D	Ib	1d 2f# 1a
4	1	12	0.5	2	10	15	6	18	9	14	12	E	D	ii7b	1d 1e 1g 1b
4	1.5	12.5	0.5	2	9	14	5	17	15	13	11	E	D	(ii7b)	1d 2e 1b
4	2	13	0.5	2	13	11	16	7	19	3	15	A	D	V	1c# 1e 2a
4	2.5	13.5	0.25	1	16	7	19	10	15	6	11	A	D	(V)	1c# 1d 2a
