#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	2	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
1	1	1	0.5	1	7	19	3	15	13	11	16	E-	B-	IV	2e- 1g 1b-
1	1.5	1.5	0.5	1	8	13	11	9	21	5	17	E-	B-	(IV)	1c 2e- 1a
1	2	2	1	2	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
1	3	3	0.5	1	16	7	19	3	15	13	11	F	B-	V	1c 2f 1a
1	3.5	3.5	0.5	1	12	10	15	6	18	9	14	F	B-	(V)	1c 1e- 1f 1a
1	4	4	1	2	11	16	7	19	3	15	13	G	B-	vi	1d 2g 1b-
2	1	5	1	2	9	14	12	10	15	6	18	A	B-	viio7b	1c 1e- 1g 1a
2	2	6	0.5	1	19	3	15	13	11	16	7	D	B-	V/vi	2d 1f# 1a
2	2.5	6.5	0.5	1	15	6	18	9	14	12	10	D	B-	(V/vi)	1c 1d 1f# 1a
2	3	7	1	2	8	20	4	16	7	12	17	E-	B-	IV;	1e- 2g 1b-
2	4	8	1	2	11	16	7	19	3	15	13	G	B-	vi	1d 2g 1b-
3	1	9	1	2	6	18	9	14	12	10	15	C	B-	ii7	1c 1e- 1g 1b-
3	2	10	0.5	1	16	7	19	3	15	13	11	F	B-	V	1c 2f 1a
3	2.5	10.5	0.5	1	12	10	15	6	18	9	14	F	B-	(V)	1c 1e- 1f 1a
3	3	11	0.5	1	16	7	12	17	8	20	4	B-	B-	Ib	2d 1f 1b-
3	3.5	11.5	0.5	1	13	11	9	14	12	17	8	B-	B-	(Ib)	1d 1e- 1f 1b-
3	4	12	0.5	1	13	11	16	7	12	17	8	F	B-	V	1c 2f 1b-
3	4.5	12.5	0.5	1	16	7	19	3	15	13	11	F	B-	(V)	1c 2f 1a
4	1	13	3	6	15	13	11	16	7	19	3	B-	B-	I;	1d 1f 2b-
4	4	16	0.5	1	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
4	4.5	16.5	0.5	1	9	14	12	10	15	13	11	B-	B-	(I)	1c 1e- 1f 1b-
5	1	17	0.5	1	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
5	1.5	17.5	0.5	1	18	9	14	12	10	15	6	B-	B-	(I)	1d 1f 1a 1b-
5	2	18	0.5	1	11	16	7	19	3	15	13	G	B-	vi	1d 2g 1b-
5	2.5	18.5	0.5	1	17	8	13	11	9	14	12	G	B-	(vi)	1d 1f 1g 1a
5	3	19	0.5	1	6	18	2	14	12	10	22	E-	B-	IV	2e- 2g
5	3.5	19.5	0.5	1	12	10	8	13	11	16	14	E-	B-	(IV)	1d 1e- 1f 1g
5	4	20	0.5	1	4	16	7	12	17	8	20	C	B-	ii	1c 2e- 1g
5	4.5	20.5	0.5	1	10	15	6	18	9	14	12	C	B-	(ii)	1d 1e- 1g 1b-
6	1	21	1	2	16	7	19	3	15	13	11	F	B-	Vb	1c 2f 1a
6	2	22	0.5	1	12	17	8	13	11	16	7	B-	B-	I	1e- 1f 2b-
6	2.5	22.5	0.5	1	15	13	11	16	7	19	3	B-	B-	(I)	1d 1f 2b-
6	3	23	1	2	16	7	19	3	15	13	11	F	B-	V;	1c 2f 1a
6	4	24	1	2	16	7	19	3	15	13	11	F	B-	Vb	1c 2f 1a
7	1	25	0.5	1	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
7	1.5	25.5	0.5	1	12	10	15	13	11	16	7	B-	B-	(I)	1c 1d 1f 1b-
7	2	26	0.5	1	16	7	12	17	8	20	4	B-	B-	Ib	2d 1f 1b-
7	2.5	26.5	0.5	1	13	11	9	14	12	17	8	B-	B-	(Ib)	1d 1e- 1f 1b-
7	3	27	0.5	1	16	7	19	3	15	13	11	F	B-	V	1c 2f 1a
7	3.5	27.5	0.5	1	12	10	15	6	18	9	14	F#	B-	viioD7/vi	1c 1e- 1f# 1a
7	4	28	0.5	1	15	13	11	16	7	12	10	G	B-	vi	1d 1g 1a 1b-
7	4.5	28.5	0.5	1	12	17	8	20	4	16	7	G	B-	vib	1d 1g 2b-
8	1	29	0.5	1	9	14	12	10	15	6	18	A	B-	viio7b	1c 1e- 1g 1a
8	1.5	29.5	0.5	1	14	12	17	8	13	4	16	A	B-	(viio7b)	1c 1g 2a
8	2	30	1	2	19	3	15	13	11	16	7	D	B-	V/vi	2d 1f# 1a
8	3	31	1	2	11	16	7	19	3	15	13	G	B-	vi;	1d 2g 1b-
8	4	32	1	2	11	16	7	19	3	15	13	G	B-	V/ii	1d 2g 1b
9	1	33	0.5	1	3	15	13	11	16	7	19	C	B-	ii	2c 1e- 1g
9	1.5	33.5	0.5	1	10	15	6	18	9	14	12	C	B-	(ii)	1d 1e- 1g 1b-
9	2	34	0.5	1	12	10	15	6	18	9	14	F	B-	V7b	1c 1e- 1f 1a
9	2.5	34.5	0.5	1	16	7	19	3	15	13	11	F	B-	(V7b)	1c 2f 1a
9	3	35	0.5	1	15	13	11	16	7	19	3	B-	B-	I	1d 1f 2b-
9	3.5	35.5	0.5	1	10	15	6	18	9	14	12	B-	B-	(I)	1d 1e- 1g 1b-
9	4	36	0.5	1	16	7	19	3	15	13	11	F	B-	V	1c 2f 1a
9	4.5	36.5	0.5	1	12	10	15	6	18	9	14	F	B-	(V)	1c 1e- 1f 1a
10	1	37	3	6	15	13	11	16	7	19	3	B-	B-	I;	1d 1f 2b-
