#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	2	19	3	15	13	11	16	7	D	D	I	2d 1f# 1a
1	1	1	1	2	11	16	7	19	3	15	13	G	D	IV	1d 2g 1b
1	2	2	1	2	21	5	17	8	13	11	9	D	D	Ib	1d 1f# 2a
1	3	3	0.5	1	12	17	8	20	4	16	7	G	D	IVb	1d 1g 2b
1	3.5	3.5	0.5	1	9	14	12	10	15	6	18	A	D	V7b	1c# 1e 1g 1a
1	4	4	0.5	1	16	7	12	10	15	13	11	D	D	I	1d 1e 1f# 1a
1	4.5	4.5	0.5	1	19	3	15	13	11	16	7	D	D	(I)	2d 1f# 1a
2	1	5	1	2	10	15	6	18	9	14	12	E	D	ii7b	1d 1e 1g 1b
2	2	6	1	2	13	11	16	7	19	3	15	A	D	V	1c# 1e 2a
2	3	7	1	2	19	3	15	13	11	16	7	D	D	I;	2d 1f# 1a
2	4	8	1	2	7	12	17	8	20	4	16	A#	D	viib/vi	2c# 1e 1a#
3	1	9	0.5	1	16	7	12	17	8	20	4	B	D	vi	2d 1f# 1b
3	1.5	9.5	0.5	1	10	8	13	11	16	14	12	B	D	(vi)	1c# 1d 1e 1f#
3	2	10	0.5	1	16	7	12	17	8	20	4	B	D	vib	2d 1f# 1b
3	2.5	10.5	0.5	1	13	11	9	14	12	17	8	B	D	(vib)	1d 1e 1f# 1b
3	3	11	0.5	1	13	11	16	7	12	17	8	F#	D	V/vi	1c# 2f# 1b
3	3.5	11.5	0.5	1	16	14	12	10	8	20	4	F#	D	(V/vi)	2f# 2b
3	4	12	0.5	1	16	7	19	3	15	13	11	F#	D	V/vi	1c# 2f# 1a#
3	4.5	12.5	0.5	1	12	10	15	6	18	9	14	F#	D	(V/vi)	1c# 1e 1f# 1a#
4	1	13	3	6	13	18	9	21	5	17	1	B	D	vi;	1d 3b
4	4	16	0.5	1	15	13	11	16	7	19	3	B	D	vi	1d 1f# 2b
4	4.5	16.5	0.5	1	18	9	14	12	10	15	6	B	D	(vi)	1d 1f# 1a 1b
5	1	17	0.5	1	4	16	7	12	17	8	20	C#	D	viib	1c# 2e 1g
5	1.5	17.5	0.5	1	10	15	6	18	9	14	12	C#	D	(viib)	1d 1e 1g 1b
5	2	18	0.5	1	16	7	19	3	15	13	11	F#	D	iii	1c# 2f# 1a
5	2.5	18.5	0.5	1	12	10	15	6	18	9	14	F#	D	(iii)	1c# 1e 1f# 1a
5	3	19	0.5	1	12	17	8	20	4	16	7	G	D	IV	1d 1g 2b
5	3.5	19.5	0.5	1	18	9	14	12	10	15	6	G	D	(IV)	1d 1f# 1a 1b
5	4	20	0.5	1	5	17	8	13	11	9	21	C#	D	viib	1c# 1e 2g
