#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
10	4	39	0.5	2	9	14	12	10	15	6	18	A	C	iio7b/v	1c 1e- 1g 1a
10	4.5	39.5	0.25	1	19	3	15	13	11	16	7	D	C	V/v	2d 1f# 1a
10	4.75	39.75	0.25	1	15	6	18	9	14	12	10	D	C	(V/v)	1c 1d 1f# 1a
11	1	40	2	8	8	20	4	16	7	12	17	E-	C	-III;	1e- 2g 1b-
11	3	42	0.5	2	12	17	8	20	4	16	7	G	C	v	1d 1g 2b-
11	3.5	42.5	0.5	2	12	17	8	20	4	16	7	G	C	(v)	1d 1g 2b-
11	4	43	0.5	2	13	11	16	7	12	17	8	F	C	V/-VII	1c 2f 1b-
11	4.5	43.5	0.5	2	16	7	19	3	15	13	11	F	C	(V/-VII)	1c 2f 1a
12	1	44	0.5	2	15	13	11	16	7	19	3	B-	C	-VII	1d 1f 2b-
12	1.5	44.5	0.5	2	18	9	14	12	10	15	6	B-	C	(-VII)	1d 1f 1a 1b-
12	2	45	0.5	2	7	19	3	15	13	11	16	E-	C	IVb/-VII	2e- 1g 1b-
12	2.5	45.5	0.5	2	17	8	13	11	9	21	5	B-	C	Ic/-VII	1d 2f 1b-
12	3	46	0.5	2	6	18	9	14	12	10	15	C	C	ii7b/-VII	1c 1e- 1g 1b-
12	3.5	46.5	0.5	2	4	16	14	12	17	8	13	C	C	ii7/-VII	2c 1e- 1b-
12	4	47	0.5	2	11	9	21	5	17	8	13	F	C	V/-VII	2c 1f 1a
12	4.5	47.5	0.5	2	16	7	19	3	15	13	11	F	C	(V/-VII)	1c 2f 1a
13	1	48	2	8	15	13	11	16	7	19	3	B-	C	I/-VII;	1d 1f 2b-
13	3	50	1	4	15	13	11	16	7	19	3	B-	C	I/-VII	1d 1f 2b-
13	4	51	0.5	2	13	11	16	7	12	17	8	F	C	V/-VII	1c 2f 1b-
13	4.5	51.5	0.5	2	16	7	19	3	15	13	11	F	C	(V/-VII)	1c 2f 1a
14	1	52	0.5	2	15	13	11	16	7	19	3	B-	C	I/-VII	1d 1f 2b-
14	1.5	52.5	0.5	2	18	9	14	12	10	15	6	B-	C	(I/-VII)	1d 1f 1a 1b-
14	2	53	0.5	2	9	14	12	10	15	6	18	A	C	iio7d/v	1c 1e- 1g 1a
14	2.5	53.5	0.5	2	15	6	18	9	14	12	10	D	C	V7b/v	1c 1d 1f# 1a
14	3	54	0.5	2	11	16	7	19	3	15	13	G	C	v	1d 2g 1b-
14	3.5	54.5	0.5	2	15	13	11	16	7	12	10	G	C	(v)	1d 1g 1a 1b-
14	4	55	0.5	2	6	18	9	14	12	10	15	C	C	V7d/IV	1c 1e 1g 1b-
14	4.5	55.5	0.5	2	3	15	13	11	16	7	19	C	C	(V7d/IV)	2c 1e 1g
15	1	56	0.5	2	16	7	19	3	15	13	11	F	C	IV	1c 2f 1a
15	1.5	56.5	0.5	2	12	10	15	6	18	9	14	F	C	(IV)	1c 1e 1f 1a
15	2	57	0.5	2	11	16	7	19	3	15	13	G	C	V7	1d 2g 1b
15	2.5	57.5	0.5	2	12	17	8	13	4	16	14	G	C	(V7)	1f 2g 1b
15	3	58	2	8	3	15	13	11	16	7	19	C	C	I;	2c 1e 1g
